Channel->,160,170,260,360,310,465,500,805
UTC time,avg temp °C,avg dewpoint °C,avg humidity %,avg air pressure hPA,avg air density KG/m3 ,avg wind speed KM/h,act wind dir °,wind measurement quality %
12:35,8.883123,-1.013512,49.9145,1030.754,1.270407,15.53408,14.56149,100
12:40,8.928652,-0.8024725,50.53568,1030.781,1.269935,12.5753,1.750569,100
12:45,9.122106,-0.5856768,50.67496,1030.64,1.269044,10.95506,19.56164,100
12:50,9.226691,-0.6056932,50.24657,1030.607,1.268268,10.77817,32.17355,100
12:55,9.326282,-0.2854213,51.08902,1030.689,1.268434,11.97965,13.01865,100
