Channel->,160,170,260,360,310,465,405,500,805
UTC time,avg temp °C,avg dewpoint °C,avg humidity %,avg air pressure hPA,avg air density KG/m3 ,avg wind speed KM/h,act wind speed KM/h,act wind dir °,wind measurement quality %
09:50,10.76278,4.229601,64.0416,1026.837,1.255447,6.538476,8.564301,0.9116516,100
09:55,10.80205,4.128739,63.4248,1026.785,1.256298,6.776161,1.968063,19.52981,100
