Channel->,310,500,805,405,360,160,170,260,465,700
UTC time,Act Air Density,Act Wind Direction,Act Wind Measurement Quality,Act Wind Speed km/u,Avg Absolute air pressure,Avg Air Temprature,Avg Dewpoint temperature,Avg Relative humidity,Avg Wind Speed km/u,Precipitation Type
12:35,1.210185,338.4771,100,3.03033,1016.5,17.92381,14.65985,81.24096,2.373482,0
12:40,1.209055,271.8938,100,2.911497,1016.527,17.76805,14.31073,80.21021,1.845012,0
12:45,1.209108,303.6122,100,1.812382,1016.632,17.94011,14.39567,79.78385,2.24327,0
12:50,1.209449,0,100,0,1016.617,17.93438,14.31928,79.42119,2.521969,0
12:55,1.209757,271.9921,100,3.127337,1016.617,17.874,14.23835,79.3073,1.686634,0
