Channel->,160,170,260,360,310,465,500,805
UTC time,avg temp °C,avg dewpoint °C,avg humidity %,avg air pressure hPA,avg air density KG/m3 ,avg wind speed KM/h,act wind dir °,wind measurement quality %
14:00,8.862028,2.090638,62.53453,1030.906,1.269724,5.886275,71.14522,100
14:05,8.761334,1.922479,62.21047,1030.981,1.270478,4.91901,12.66444,100
14:10,8.875861,1.877339,61.53499,1030.925,1.270115,4.929601,8.493238,100
14:15,8.87832,1.698516,60.74326,1030.906,1.26996,3.775722,57.62699,100
14:20,8.89895,1.651285,60.45416,1030.977,1.269661,3.437517,63.81565,100
14:25,8.953024,1.631777,60.14975,1030.914,1.269598,3.580151,57.04457,100
14:30,8.883379,1.601484,60.30864,1030.899,1.27008,4.234274,60.91531,100
14:35,8.821098,1.843121,61.61068,1030.995,1.270759,3.907473,14.25991,100
14:40,8.65304,1.676106,61.57581,1030.816,1.270895,3.832635,10.85889,100
14:45,8.801329,1.930419,62.07799,1030.916,1.270239,3.28835,61.03818,100
14:50,8.825431,2.036876,62.45089,1030.933,1.269946,2.935434,68.8404,100
14:55,8.813326,1.825184,61.5655,1030.963,1.27042,3.367989,42.13113,100
