Channel->,160,170,260,360,310,465,500,805
UTC time,avg temp °C,avg dewpoint °C,avg humidity %,avg air pressure hPA,avg air density KG/m3 ,avg wind speed KM/h,act wind dir °,wind measurement quality %
15:40,7.37446,1.757285,67.55145,1021.687,1.26578,4.708386,0,100
15:45,7.223228,1.814644,68.53526,1021.686,1.266337,4.714849,11.59442,100
15:50,7.216565,1.916903,69.06665,1021.806,1.266161,5.938225,0,100
15:55,7.148649,1.840009,69.00836,1021.846,1.266993,4.575253,233.4649,100
