Channel->,310,500,805,405,360,160,170,260,465,700
UTC time,Act Air Density,Act Wind Direction,Act Wind Measurement Quality,Act Wind Speed km/u,Avg Absolute air pressure,Avg Air Temprature,Avg Dewpoint temperature,Avg Relative humidity,Avg Wind Speed km/u,Precipitation Type
09:30,1.215531,114.3608,100,5.453114,1015.714,16.17344,14.38633,89.16738,4.756539,-1
09:35,1.214986,149.2099,100,11.45955,1015.746,16.25604,14.38037,88.66559,3.335203,-1
