Date,2016/10/05,2016/10/05,
Time,12:25:56,12:32:55,
Memo,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,
Exposure Time(msec),100,100,
Sensor Temp.(deg),24.7,25.5,
Power(V),5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,0.00,
288.21,-0.00,0.00,
288.65,-0.00,0.00,
289.08,-0.00,0.00,
289.52,-0.00,0.00,
289.95,-0.00,0.00,
290.39,0.00,0.00,
290.82,-0.00,0.00,
291.26,0.00,0.00,
291.69,0.00,0.00,
292.13,0.00,0.00,
292.56,0.00,0.00,
293.00,0.00,0.00,
293.43,0.00,0.00,
293.87,0.00,0.00,
294.30,0.00,0.00,
294.74,1.75,3.13,
295.17,1.00,3.00,
295.61,0.86,3.46,
296.04,1.46,2.81,
296.47,0.73,2.31,
296.91,0.72,1.20,
297.34,1.54,2.61,
297.78,1.57,2.77,
298.21,2.30,2.06,
298.65,2.03,2.99,
299.08,2.27,3.11,
299.51,2.40,4.08,
299.95,2.99,4.31,
300.38,3.91,5.21,
300.82,4.25,5.43,
301.25,5.00,6.31,
301.68,6.50,7.45,
302.12,6.69,7.87,
302.55,7.63,9.74,
302.99,9.06,11.04,
303.42,10.33,13.38,
303.85,11.55,13.56,
304.29,12.92,14.56,
304.72,14.48,17.28,
305.15,16.35,18.45,
305.59,17.87,20.08,
306.02,20.34,21.38,
306.46,22.69,24.30,
306.89,25.28,26.21,
307.32,28.77,27.95,
307.76,31.61,31.38,
308.19,34.12,33.65,
308.62,37.81,36.51,
309.06,41.42,38.36,
309.49,45.88,44.58,
309.92,49.33,48.50,
310.35,53.24,52.05,
310.79,57.96,56.65,
311.22,60.87,60.04,
311.65,65.60,65.24,
312.09,69.97,68.78,
312.52,74.53,73.57,
312.95,78.80,77.84,
313.38,82.97,82.12,
313.82,86.92,88.00,
314.25,91.49,91.73,
314.68,96.05,97.02,
315.12,101.09,101.69,
315.55,105.16,106.84,
315.98,110.47,109.63,
316.41,115.66,113.85,
316.85,119.48,119.00,
317.28,123.12,123.12,
317.71,127.95,127.83,
318.14,131.99,131.63,
318.57,136.31,136.91,
319.01,140.70,141.42,
319.44,144.58,145.90,
319.87,148.43,149.99,
320.30,152.35,153.07,
320.73,157.39,157.99,
321.17,161.57,160.51,
321.60,167.99,168.23,
322.03,175.14,175.02,
322.46,180.37,181.32,
322.89,185.90,187.68,
323.33,193.22,193.69,
323.76,200.31,200.78,
324.19,207.00,206.88,
324.62,213.32,213.44,
325.05,221.26,221.15,
325.48,228.60,227.11,
325.92,234.10,233.88,
326.35,241.66,240.98,
326.78,247.66,247.78,
327.21,252.77,253.44,
327.64,257.94,260.27,
328.07,261.63,263.17,
328.50,264.52,266.49,
328.93,266.61,270.08,
329.37,268.94,271.95,
329.80,270.91,274.32,
330.23,271.37,274.64,
330.66,274.05,277.52,
331.09,275.90,278.62,
331.52,275.62,278.83,
331.95,275.05,278.83,
332.38,275.68,278.21,
332.81,275.41,278.11,
333.24,274.77,275.86,
333.68,274.28,276.24,
334.11,274.97,276.43,
334.54,275.13,276.67,
334.97,275.61,276.85,
335.40,277.21,277.03,
335.83,278.82,278.91,
336.26,281.24,280.87,
336.69,283.80,282.98,
337.12,285.15,285.51,
337.55,287.10,287.99,
337.98,289.79,290.49,
338.41,291.94,292.81,
338.84,294.47,295.59,
339.27,295.71,297.41,
339.70,298.63,301.50,
340.13,301.30,303.72,
340.56,302.14,305.37,
340.99,303.38,307.33,
341.42,304.74,308.58,
341.85,305.21,309.83,
342.28,305.61,309.88,
342.71,305.37,310.17,
343.14,305.91,311.33,
343.57,306.57,311.33,
344.00,306.93,311.58,
344.43,308.15,312.38,
344.86,308.52,313.58,
345.29,309.93,314.21,
345.72,311.84,315.71,
346.15,313.15,317.31,
346.58,314.77,318.68,
347.01,317.83,320.35,
347.44,321.07,322.89,
347.87,323.71,326.28,
348.30,327.11,329.29,
348.73,330.89,333.37,
349.16,334.37,337.21,
349.59,337.67,340.65,
350.02,339.02,341.45,
350.44,342.59,344.71,
350.87,346.11,348.51,
351.30,350.22,351.67,
351.73,353.09,355.83,
352.16,356.34,360.45,
352.59,359.27,363.52,
353.02,360.96,366.20,
353.45,361.30,367.46,
353.88,361.12,368.49,
354.31,359.64,367.70,
354.73,357.71,366.32,
355.16,355.19,364.11,
355.59,353.60,361.72,
356.02,352.82,360.37,
356.45,352.73,359.72,
356.88,352.81,359.72,
357.31,351.89,358.29,
357.74,351.52,358.27,
358.16,352.15,358.68,
358.59,352.40,357.23,
359.02,354.19,358.18,
359.45,356.61,359.34,
359.88,359.82,363.04,
360.31,364.81,366.70,
360.73,369.58,370.91,
361.16,376.31,377.36,
361.59,384.11,384.60,
362.02,391.70,392.40,
362.45,398.82,399.59,
362.88,405.99,407.06,
363.30,412.68,414.10,
363.73,420.12,422.05,
364.16,426.47,428.57,
364.59,432.99,434.67,
365.02,438.56,442.11,
365.44,443.91,448.32,
365.87,449.67,454.80,
366.30,454.46,459.64,
366.73,459.16,465.01,
367.16,464.35,470.58,
367.58,468.06,473.89,
368.01,470.35,476.95,
368.44,470.97,478.75,
368.87,471.42,479.99,
369.29,469.41,479.15,
369.72,465.89,477.62,
370.15,461.99,474.70,
370.58,459.06,471.21,
371.00,456.27,468.74,
371.43,454.77,465.11,
371.86,452.89,463.20,
372.29,451.86,461.75,
372.71,451.94,460.61,
373.14,451.37,459.93,
373.57,453.47,460.65,
374.00,454.90,463.19,
374.42,457.12,465.39,
374.85,460.97,469.06,
375.28,464.50,473.14,
375.70,469.25,477.55,
376.13,475.11,481.57,
376.56,479.93,486.14,
376.99,483.63,490.94,
377.41,485.56,493.25,
377.84,486.84,496.09,
378.27,486.57,497.22,
378.69,484.42,496.20,
379.12,480.46,494.54,
379.55,475.60,490.16,
379.97,468.54,483.70,
380.40,461.51,475.87,
380.83,453.97,467.98,
381.25,447.48,460.61,
381.68,441.99,454.18,
382.11,437.11,448.37,
382.53,433.36,444.50,
382.96,431.03,441.64,
383.39,429.99,438.85,
383.81,429.94,439.37,
384.24,430.92,439.57,
384.67,433.56,440.17,
385.09,437.68,443.13,
385.52,443.81,447.49,
385.95,450.73,453.77,
386.37,458.12,460.87,
386.80,466.66,469.06,
387.22,476.03,478.64,
387.65,484.49,486.82,
388.08,491.93,494.35,
388.50,497.62,501.70,
388.93,502.22,507.69,
389.36,504.79,511.61,
389.78,505.21,514.43,
390.21,505.47,514.65,
390.63,505.27,514.22,
391.06,504.25,514.24,
391.49,503.09,513.42,
391.91,501.98,511.86,
392.34,501.85,511.50,
392.76,501.89,511.46,
393.19,501.65,512.15,
393.61,501.19,511.38,
394.04,501.29,511.62,
394.47,502.84,512.42,
394.89,507.75,515.15,
395.32,516.10,519.87,
395.74,528.94,530.23,
396.17,545.99,544.46,
396.59,566.35,562.27,
397.02,588.48,583.51,
397.45,611.32,605.54,
397.87,634.30,629.34,
398.30,656.37,653.11,
398.72,677.52,675.36,
399.15,698.82,697.53,
399.57,719.99,718.28,
400.00,740.96,740.30,
400.42,761.06,761.48,
400.85,778.42,781.84,
