Date,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,2016/09/13,
Time,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,200,200,200,200,200,200,200,200,200,200,200,
Sensor Temp.(deg),25.5,25.4,25.5,25.5,25.6,25.5,25.5,25.5,25.5,25.6,25.5,25.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.25,0.81,0.50,1.00,0.44,1.06,1.00,0.63,1.13,1.75,1.81,1.19,
295.17,0.31,0.81,0.44,1.37,0.50,0.94,1.00,0.94,1.50,1.50,1.56,1.31,
295.61,0.49,0.86,0.37,1.48,0.49,1.17,0.93,1.05,1.61,1.48,1.91,1.17,
296.04,0.73,1.10,0.79,1.53,0.67,1.22,1.10,1.16,1.46,1.53,1.89,1.28,
296.47,1.09,1.03,0.85,1.40,0.79,1.28,1.28,1.40,1.40,1.70,2.13,1.58,
296.91,1.02,1.08,1.14,1.33,1.20,1.33,0.96,1.69,1.33,1.99,2.17,2.11,
297.34,0.83,0.89,1.25,1.25,1.31,1.19,1.48,1.31,1.37,2.08,2.08,2.14,
297.78,0.84,1.08,1.45,1.08,1.45,1.21,1.51,1.45,1.27,2.65,2.05,2.35,
298.21,0.79,1.33,1.51,1.39,1.39,1.51,1.63,1.81,1.51,2.96,2.42,2.54,
298.65,0.96,1.08,1.43,1.73,1.73,1.61,1.55,2.09,1.97,2.69,2.51,3.05,
299.08,0.90,1.61,1.38,2.09,1.79,2.03,1.97,2.27,2.57,2.87,2.93,3.11,
299.51,1.08,1.92,1.38,2.16,2.10,2.10,2.28,2.52,2.88,3.24,3.36,3.54,
299.95,1.97,1.97,1.55,2.09,2.21,2.57,2.69,3.47,3.17,3.71,3.59,3.77,
300.38,2.13,2.01,2.07,2.31,2.61,2.84,2.78,3.85,3.49,3.79,4.38,4.50,
300.82,2.36,2.54,2.54,2.77,2.95,2.77,3.54,4.13,4.13,4.19,4.66,4.78,
301.25,2.62,2.92,2.92,2.98,3.75,3.15,3.81,4.88,4.52,5.06,4.94,5.47,
301.68,3.07,3.43,3.55,3.43,4.20,3.90,4.43,5.32,5.32,5.62,5.73,6.32,
302.12,3.23,3.40,3.87,3.82,4.87,4.40,5.05,5.99,5.93,6.16,6.63,7.34,
302.55,3.23,4.28,4.22,4.69,5.34,5.16,5.63,6.40,7.04,7.10,7.51,8.45,
302.99,3.66,4.53,4.42,5.00,5.69,5.75,6.45,6.97,7.73,7.90,8.43,9.41,
303.42,4.40,5.22,5.22,5.75,6.28,6.75,7.51,8.10,8.80,9.10,9.51,10.45,
303.85,4.95,5.84,5.89,6.60,6.78,7.66,8.37,9.14,9.90,10.08,11.20,11.61,
304.29,5.64,6.58,6.75,7.75,7.57,8.40,9.34,10.22,11.45,11.04,12.04,12.80,
304.72,6.54,7.36,7.47,8.70,8.87,9.46,10.33,11.38,12.61,12.26,13.72,14.13,
305.15,7.47,8.35,8.76,9.81,10.10,10.86,11.62,12.67,13.96,13.78,15.07,15.88,
305.59,8.47,9.00,9.75,10.50,11.20,12.19,12.88,13.99,15.03,15.44,16.83,17.53,
306.02,9.13,9.99,10.86,11.55,12.54,13.35,13.92,15.54,16.64,17.22,18.31,19.70,
306.46,10.02,10.94,12.04,12.67,13.82,14.63,15.72,16.53,18.08,18.83,20.21,21.59,
306.89,11.24,12.29,13.75,14.10,15.38,16.43,17.71,18.41,20.10,21.26,22.54,23.94,
307.32,12.51,13.86,15.09,15.85,16.78,18.30,19.53,20.52,22.34,23.51,25.32,26.31,
307.76,13.88,15.05,16.39,17.73,18.66,20.01,21.29,22.57,24.79,25.37,27.53,29.10,
308.19,15.31,16.77,17.76,19.75,20.51,22.32,23.43,24.83,27.28,27.98,30.44,31.37,
308.62,17.08,18.73,19.67,21.60,22.72,24.42,25.77,27.18,29.70,30.88,32.99,34.46,
309.06,19.24,20.30,21.24,23.30,24.59,26.83,28.12,29.89,31.89,33.59,35.71,37.18,
309.49,20.87,22.11,23.53,25.36,27.20,29.21,30.21,32.46,34.47,36.36,38.90,40.74,
309.92,22.54,23.84,25.55,27.56,29.46,31.29,32.95,34.42,37.14,39.16,41.58,43.59,
310.35,24.18,25.96,27.75,29.53,32.08,33.75,35.23,37.25,39.81,42.30,44.38,46.94,
310.79,26.01,28.03,29.99,31.65,34.20,36.46,37.77,39.96,42.52,45.19,47.62,50.12,
311.22,27.65,29.49,31.92,33.51,36.65,38.90,40.15,42.46,45.06,47.73,50.39,53.47,
311.65,29.17,32.20,33.87,36.25,38.93,41.67,43.04,45.30,48.51,50.96,53.87,56.79,
312.09,30.94,34.09,35.58,38.25,41.10,43.89,45.67,48.11,51.20,53.93,56.90,59.93,
312.52,33.61,36.43,38.10,41.03,43.66,47.01,48.87,51.56,54.31,57.42,60.35,63.28,
312.95,35.55,38.50,40.72,43.67,46.50,49.75,51.73,54.74,57.57,60.87,64.00,67.13,
313.38,37.68,40.94,43.29,46.49,49.02,52.46,54.69,57.76,60.84,64.33,67.17,70.36,
313.82,39.85,43.04,45.38,48.64,51.83,54.96,57.30,60.85,63.32,67.78,70.24,73.80,
314.25,42.01,45.38,48.15,51.22,54.59,57.84,60.07,63.74,66.45,70.91,73.43,77.23,
314.68,44.24,47.61,50.61,53.56,57.30,60.54,62.83,66.62,69.33,73.91,76.85,80.95,
315.12,46.04,50.13,52.83,56.07,59.85,62.97,65.43,69.34,72.64,76.84,79.90,84.16,
315.55,48.10,52.16,54.98,58.33,62.09,65.32,68.43,71.84,75.37,79.68,82.91,87.34,
315.98,50.71,55.00,58.19,61.45,64.94,68.38,72.30,75.32,79.06,83.76,86.83,91.18,
316.41,53.18,57.71,60.73,64.30,67.38,71.25,75.42,78.86,82.49,86.90,90.95,94.69,
316.85,55.28,59.68,62.99,67.03,69.68,73.53,77.93,81.84,85.76,89.61,93.71,97.86,
317.28,57.71,62.10,65.05,69.86,72.45,76.42,80.81,85.09,88.88,92.73,97.12,101.03,
317.71,60.06,64.76,67.83,72.65,75.06,79.16,83.86,88.01,91.87,95.91,100.36,104.64,
318.14,62.75,66.66,69.96,74.83,77.53,81.86,86.37,91.00,94.30,98.93,103.44,107.77,
318.57,65.15,68.82,72.66,77.35,80.54,84.44,88.77,93.64,97.24,101.93,106.62,111.43,
319.01,67.28,71.07,75.04,79.85,83.16,86.95,91.82,95.90,100.23,104.92,109.73,114.48,
319.44,69.58,73.49,77.46,81.90,85.51,89.71,94.22,98.55,103.05,108.16,112.97,117.72,
319.87,71.53,75.71,79.41,84.25,87.42,92.14,96.68,101.17,105.71,110.55,115.87,120.65,
320.30,73.73,77.61,81.77,86.78,90.23,94.82,99.40,103.99,108.99,112.98,118.88,124.06,
320.73,76.08,80.66,84.53,89.94,92.91,98.09,102.79,107.25,112.54,116.35,122.83,127.41,
321.17,78.54,83.09,86.88,92.38,95.63,100.78,105.98,110.30,115.62,120.00,126.26,131.05,
321.60,82.57,86.61,90.65,96.24,99.39,105.45,110.51,115.32,120.08,124.89,131.25,136.43,
322.03,86.08,90.02,94.90,100.33,104.08,109.87,114.75,120.00,124.89,130.02,136.75,142.18,
322.46,89.23,93.40,98.57,104.22,107.96,113.91,118.84,124.01,129.36,134.65,141.49,147.20,
322.89,92.12,96.62,101.87,107.25,111.80,117.77,122.50,128.17,133.25,139.16,145.72,151.98,
323.33,95.55,100.32,105.98,111.40,116.00,122.49,127.14,132.74,138.16,144.29,150.90,157.32,
323.76,98.92,103.73,109.72,115.12,120.16,126.67,131.43,137.00,142.69,148.79,155.95,162.76,
324.19,101.75,107.40,113.06,118.71,123.78,130.72,135.32,141.15,147.38,153.62,160.50,167.49,
324.62,104.87,110.60,116.38,121.94,127.44,134.50,139.88,145.15,151.63,158.23,165.11,172.46,
325.05,108.55,114.85,120.93,126.48,131.86,139.32,145.33,150.42,157.01,164.13,170.83,178.24,
