Date,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,2016/07/26,
Time,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,200,200,200,200,200,200,200,200,200,200,200,
Sensor Temp.(deg),25.3,25.3,25.4,25.3,25.4,25.3,25.4,25.3,25.4,25.4,25.2,25.4,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
288.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
288.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
289.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
289.52,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.56,0.56,1.13,1.06,0.50,0.56,0.75,0.31,0.50,0.44,0.56,0.19,
295.17,0.81,0.75,1.06,0.81,0.56,0.12,0.62,0.56,0.44,0.75,0.56,0.25,
295.61,0.93,0.74,0.62,0.68,0.99,0.19,0.80,1.05,0.49,0.99,0.49,0.62,
296.04,1.04,0.61,0.67,0.85,0.43,0.61,0.92,0.73,0.37,0.85,0.67,0.79,
296.47,1.15,0.73,0.79,0.67,0.73,0.79,1.03,1.03,0.18,0.79,0.67,0.67,
296.91,1.57,0.72,1.02,0.72,0.96,0.84,1.33,1.14,0.60,0.78,0.54,0.60,
297.34,1.37,0.89,1.13,1.31,1.25,1.19,1.31,1.31,0.83,0.83,0.59,1.01,
297.78,1.45,0.96,1.21,1.51,1.39,1.39,1.15,1.21,1.08,0.78,0.84,0.60,
298.21,1.75,1.09,1.75,1.39,1.51,1.45,1.21,1.33,1.33,1.39,0.85,0.73,
298.65,1.67,1.31,2.03,1.55,1.61,1.43,1.14,1.37,1.49,1.55,0.90,1.20,
299.08,1.91,1.49,1.91,1.85,2.03,1.97,1.61,1.67,1.73,1.43,1.20,1.43,
299.51,2.40,2.28,2.28,2.28,2.28,2.16,2.22,1.92,1.98,1.62,1.44,1.44,
299.95,2.51,2.69,2.69,2.33,2.75,2.39,2.69,2.33,1.73,1.97,1.50,1.55,
300.38,2.72,3.08,2.90,2.72,3.14,2.49,3.26,2.61,2.01,1.89,1.66,1.60,
300.82,2.95,3.37,3.25,3.25,3.37,3.19,3.37,2.72,2.30,1.71,1.89,1.89,
301.25,3.57,3.81,3.51,3.69,3.93,3.63,3.51,3.51,2.80,2.26,2.14,1.79,
301.68,4.20,4.31,4.55,4.31,4.20,4.43,3.96,3.61,3.31,2.60,2.36,2.48,
302.12,4.40,4.87,5.34,4.99,4.58,5.22,4.23,3.82,3.93,2.88,2.70,2.88,
302.55,5.52,5.63,6.22,5.87,5.40,6.10,4.87,4.58,4.87,3.34,3.17,3.17,
302.99,6.04,6.39,6.97,6.97,6.16,6.74,5.58,5.40,5.64,4.24,3.60,3.83,
303.42,6.81,7.45,7.98,8.04,6.93,7.45,6.40,6.10,6.04,4.99,4.40,4.40,
303.85,7.66,8.55,8.84,8.90,7.84,8.19,7.49,6.84,6.95,5.72,5.25,4.83,
304.29,8.75,9.63,9.81,9.69,8.63,8.69,8.46,7.63,7.87,6.64,5.81,5.64,
304.72,9.87,10.74,10.33,10.63,9.98,9.63,9.52,8.99,8.70,7.59,6.77,6.60,
305.15,11.21,12.03,11.91,11.74,10.63,11.09,10.74,9.40,9.63,8.47,7.71,7.53,
305.59,12.24,13.35,12.88,12.77,11.84,12.30,12.01,10.62,10.50,9.40,8.41,8.30,
306.02,13.92,14.67,14.33,14.04,13.00,13.58,13.35,11.90,11.96,10.51,9.01,9.07,
306.46,15.09,16.24,15.72,16.01,14.57,15.26,14.57,13.36,13.30,11.63,10.37,10.48,
