Date,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,2016/04/07,
Time,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,200,200,200,500,500,500,500,200,200,200,100,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,24.5,24.6,24.5,24.7,24.5,24.6,24.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.65,1.44,0.69,0.69,0.28,0.53,0.60,0.65,1.06,0.63,1.13,2.63,
295.17,0.60,1.50,0.81,0.44,0.32,0.47,0.67,0.67,1.25,0.37,1.56,2.25,
295.61,0.69,1.54,0.99,0.12,0.22,0.22,0.79,0.72,1.23,0.37,1.67,2.59,
296.04,0.68,1.53,0.67,-0.12,0.32,0.34,0.73,0.83,1.28,0.43,1.65,2.69,
296.47,0.66,1.64,0.79,0.18,0.27,0.51,0.83,0.92,1.40,0.43,1.70,2.67,
296.91,0.75,1.87,0.96,0.72,0.29,0.48,0.84,0.89,1.63,1.08,1.51,2.89,
297.34,0.76,2.20,0.65,0.95,0.36,0.50,0.81,0.88,1.66,1.31,1.19,2.49,
297.78,0.80,2.05,0.66,1.02,0.22,0.48,0.77,1.08,1.87,1.21,1.45,2.17,
298.21,0.87,2.48,0.79,1.51,0.29,0.53,0.87,1.19,2.00,1.03,2.18,2.30,
298.65,0.96,3.11,1.08,1.85,0.43,0.65,1.05,1.17,2.03,1.31,2.03,2.63,
299.08,1.15,2.99,1.61,1.85,0.50,0.88,1.29,1.53,2.27,1.73,2.27,2.87,
299.51,1.42,3.30,2.34,1.98,0.58,1.06,1.66,1.75,2.52,1.44,2.82,3.72,
299.95,1.60,3.71,2.63,2.63,0.65,1.10,1.84,1.77,2.87,1.85,3.05,4.78,
300.38,1.82,3.97,2.49,3.26,0.90,1.42,1.87,1.94,3.49,2.25,3.37,5.09,
300.82,2.10,4.43,2.83,3.37,1.04,1.58,2.10,2.22,3.96,2.36,4.13,5.43,
301.25,2.52,4.94,3.27,3.63,1.09,1.57,2.43,2.64,4.40,2.68,4.76,6.90,
301.68,2.98,5.44,3.72,4.14,1.21,1.92,2.70,3.03,4.96,3.31,5.26,7.92,
302.12,3.26,6.11,4.40,4.76,1.39,2.30,3.10,3.48,5.69,3.99,5.75,8.34,
302.55,3.92,7.04,5.40,5.57,1.53,2.68,3.59,3.94,6.51,4.99,6.51,9.62,
302.99,4.46,8.02,6.39,6.33,1.72,2.97,4.07,4.35,7.20,5.81,6.80,10.69,
303.42,5.02,8.92,7.10,7.34,1.85,3.40,4.55,5.05,8.10,6.40,7.86,11.50,
303.85,5.78,10.20,8.13,8.49,2.05,3.84,5.21,5.73,9.25,7.01,9.43,13.32,
304.29,6.53,11.69,9.22,9.45,2.37,4.37,5.92,6.32,10.33,7.87,10.69,15.38,
304.72,7.33,12.44,10.63,10.10,2.69,4.93,6.70,7.22,11.68,9.11,11.73,17.16,
305.15,8.22,13.55,11.85,11.04,3.04,5.58,7.59,8.15,13.20,9.81,13.43,19.39,
305.59,9.10,15.15,13.17,12.36,3.30,6.20,8.40,8.87,14.57,11.03,14.86,21.94,
306.02,10.01,16.64,14.10,13.98,3.72,6.89,9.08,9.80,16.23,12.71,16.35,23.92,
306.46,10.99,18.31,15.32,15.26,4.12,7.62,10.02,10.87,18.20,14.05,17.85,26.03,
306.89,12.33,20.45,17.01,17.13,4.47,8.39,11.23,12.26,20.27,15.73,20.27,29.36,
307.32,13.61,22.63,18.77,19.06,4.96,9.29,12.42,13.66,22.51,17.66,22.45,32.75,
307.76,14.79,24.85,20.65,20.71,5.51,10.36,13.67,15.05,24.85,19.66,24.50,35.34,
308.19,16.36,27.34,22.96,22.78,6.03,11.40,15.14,16.59,27.34,21.79,26.82,39.14,
308.62,17.99,30.06,25.42,25.18,6.53,12.52,16.74,18.13,29.88,23.72,29.47,43.32,
309.06,19.48,32.59,27.47,27.59,7.08,13.60,18.19,19.77,32.53,25.65,32.06,47.06,
309.49,21.19,35.30,29.50,29.98,7.83,14.95,19.68,21.59,35.47,27.67,35.30,51.20,
309.92,22.88,38.21,31.88,32.12,8.52,16.06,21.39,23.23,38.33,29.69,38.56,55.72,
310.35,24.65,40.88,34.40,34.16,9.32,17.25,23.15,25.17,41.29,32.02,41.71,60.01,
310.79,26.41,43.41,36.88,35.98,10.09,18.60,24.82,27.08,44.12,34.08,44.71,64.13,
311.22,27.97,46.30,39.32,38.31,10.73,19.85,26.41,28.73,47.07,36.36,47.61,68.92,
311.65,29.91,49.71,41.79,41.31,11.55,21.24,28.17,30.67,50.36,39.47,50.84,73.58,
312.09,31.53,52.50,43.83,43.65,12.28,22.47,29.72,32.43,53.34,41.69,53.51,77.21,
312.52,33.57,55.86,46.53,46.35,12.97,23.81,31.63,34.67,56.82,44.44,57.36,81.94,
312.95,35.59,59.25,49.38,49.45,13.79,25.19,33.56,36.79,60.27,46.92,61.48,86.98,
313.38,37.33,62.83,52.22,51.97,14.66,26.67,35.50,38.85,63.55,49.56,64.82,91.77,
313.82,39.22,65.55,55.08,54.59,15.43,28.10,37.34,40.93,66.69,51.95,68.14,96.31,
314.25,41.27,68.80,58.33,57.36,16.18,29.40,39.37,42.95,69.88,54.11,72.05,101.12,
314.68,43.09,71.98,60.91,60.30,17.02,30.77,41.19,44.82,73.24,56.45,75.47,106.04,
315.12,44.86,74.74,62.79,62.79,17.94,32.22,42.77,46.80,76.54,58.83,78.94,110.34,
315.55,46.56,77.53,65.26,65.20,18.71,33.50,44.53,48.62,79.62,60.84,82.67,114.50,
315.98,48.94,81.23,68.56,68.32,19.63,34.90,46.89,51.06,83.70,63.98,87.20,121.09,
316.41,51.03,84.30,71.19,70.82,20.55,36.64,48.83,53.30,87.32,66.77,90.82,126.78,
316.85,52.85,87.32,73.83,73.41,21.20,38.16,50.54,55.19,90.69,69.26,94.07,131.52,
317.28,54.93,90.68,76.42,76.60,21.95,39.62,52.38,57.16,94.05,72.33,97.42,137.08,
317.71,56.89,94.04,78.92,79.52,22.72,41.04,54.34,59.16,97.53,75.18,100.60,142.05,
318.14,58.61,96.71,81.20,81.92,23.27,42.27,55.92,61.09,100.79,77.23,103.98,146.65,
318.57,60.51,99.89,83.90,84.86,23.90,43.54,57.72,62.99,104.04,79.63,108.00,151.94,
319.01,62.34,103.18,86.70,87.49,24.72,44.98,59.70,64.89,107.21,82.07,111.24,157.30,
319.44,64.20,105.76,89.59,89.71,25.53,46.53,61.58,67.01,110.26,84.67,114.53,162.60,
319.87,65.99,108.16,92.02,91.49,26.12,47.76,63.20,68.60,113.12,86.35,117.90,167.55,
320.30,67.78,111.43,94.58,94.22,26.80,49.10,64.94,70.33,116.20,89.10,121.02,173.20,
320.73,69.81,114.62,97.02,97.32,27.77,50.80,66.79,72.40,119.80,92.08,124.50,179.05,
321.17,71.68,117.81,99.59,99.95,28.46,52.19,68.60,74.42,123.25,94.57,128.39,184.40,
321.60,74.69,122.63,103.73,103.85,29.46,54.21,71.50,77.49,128.34,98.56,133.81,193.08,
322.03,77.71,127.33,107.72,108.02,30.69,56.56,74.35,80.81,133.53,102.77,139.32,201.49,
322.46,80.30,131.92,111.71,111.88,31.72,58.78,76.98,83.71,138.58,106.71,144.22,208.31,
322.89,83.08,136.50,115.70,115.94,32.76,60.68,79.61,86.46,143.18,110.50,149.03,215.80,
323.33,85.96,141.58,120.19,120.30,33.90,62.86,82.69,89.55,148.30,114.53,154.37,224.46,
323.76,88.62,146.10,123.98,124.62,34.92,64.92,85.38,92.63,153.31,118.17,159.71,231.99,
324.19,91.38,150.47,127.80,128.73,35.95,67.02,88.00,95.50,158.22,121.51,165.33,239.52,
324.62,94.10,155.33,131.84,132.71,37.13,69.12,90.79,98.39,162.92,125.18,170.61,247.70,
325.05,97.55,160.54,136.83,137.06,38.59,71.73,94.20,102.04,168.98,129.89,176.62,257.12,
325.48,100.57,165.10,141.14,140.91,39.79,73.99,97.12,105.23,174.07,133.44,182.40,265.38,
325.92,103.24,169.76,144.92,144.86,40.76,76.02,99.77,107.91,178.94,137.11,187.43,273.77,
326.35,106.08,174.55,148.91,149.48,42.11,78.42,102.56,111.07,184.36,141.65,192.76,281.93,
326.78,108.40,178.33,151.89,152.51,43.03,80.17,104.87,113.62,188.90,144.25,197.39,288.49,
327.21,110.74,182.54,155.05,155.77,43.83,81.80,107.23,116.21,193.04,147.34,202.03,296.01,
327.64,112.86,185.99,157.78,158.84,44.73,83.48,109.26,118.52,196.81,150.07,206.03,302.13,
328.07,114.32,188.59,160.28,161.05,45.43,84.84,110.84,120.23,199.61,152.07,209.14,306.68,
328.50,115.87,191.11,162.51,163.22,45.92,86.05,112.33,121.60,202.05,153.92,211.68,311.12,
328.93,116.81,192.75,164.09,164.52,46.30,86.81,113.39,122.49,203.48,154.87,213.24,314.84,
