Date,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,2016/09/20,
Time,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,500,500,500,500,500,200,200,200,200,200,200,
Sensor Temp.(deg),24.6,24.8,24.7,24.8,24.8,24.7,24.7,24.8,24.8,24.9,24.8,24.7,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
288.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,
288.65,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,
289.08,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,
289.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
293.43,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
294.74,0.08,0.33,0.20,0.38,0.40,0.48,0.00,0.06,0.50,0.19,0.25,0.56,
295.17,0.22,0.30,0.42,0.45,0.30,0.55,0.12,0.50,0.37,0.37,0.19,0.62,
295.61,0.20,0.22,0.40,0.37,0.42,0.52,0.43,0.49,0.37,0.49,0.25,0.68,
296.04,0.05,0.27,0.34,0.34,0.46,0.32,0.43,0.43,0.73,0.85,0.43,0.67,
296.47,0.24,0.36,0.39,0.32,0.49,0.46,0.49,0.43,0.73,0.97,0.73,0.61,
296.91,0.34,0.48,0.39,0.39,0.43,0.67,0.54,0.30,0.66,0.42,0.96,0.72,
297.34,0.24,0.48,0.31,0.52,0.29,0.74,0.65,0.30,0.95,0.53,0.77,1.01,
297.78,0.34,0.43,0.36,0.55,0.27,0.77,0.90,0.48,1.15,0.54,0.54,0.96,
298.21,0.36,0.53,0.46,0.51,0.46,0.73,0.73,0.67,1.15,0.67,0.60,1.09,
298.65,0.45,0.36,0.41,0.50,0.60,0.72,0.72,0.66,1.20,0.66,0.90,1.31,
299.08,0.57,0.41,0.41,0.53,0.65,0.77,0.84,0.60,1.02,0.72,0.54,1.38,
299.51,0.65,0.60,0.50,0.67,0.65,0.89,0.90,0.96,0.78,1.14,0.72,1.32,
299.95,0.62,0.67,0.57,0.69,0.89,0.98,1.14,0.66,0.90,1.02,1.44,1.44,
300.38,0.57,0.73,0.69,0.83,0.92,1.04,1.12,0.47,1.24,1.18,1.36,1.60,
300.82,0.68,0.71,0.92,1.02,0.71,1.25,1.30,0.77,1.42,1.54,1.54,1.71,
301.25,0.74,0.69,1.02,0.98,0.88,1.31,1.90,1.01,1.55,1.67,1.90,1.84,
301.68,0.64,0.69,0.97,0.95,1.02,1.30,1.89,1.06,2.01,1.77,2.36,2.19,
302.12,0.89,0.63,1.01,1.01,1.10,1.46,2.00,1.12,2.11,1.88,2.76,2.41,
302.55,1.08,0.84,1.13,1.15,1.20,1.76,2.29,1.35,2.17,1.82,3.05,2.70,
302.99,1.07,0.91,1.14,1.37,1.32,2.00,2.50,1.80,2.44,1.98,3.31,3.02,
303.42,1.15,0.96,1.27,1.53,1.53,2.18,2.76,1.76,2.88,2.58,3.52,3.52,
303.85,1.27,1.18,1.46,1.70,1.82,2.38,2.83,2.24,3.18,3.24,3.77,4.01,
304.29,1.41,1.24,1.67,1.81,2.14,2.65,2.94,2.76,3.35,3.82,4.29,4.58,
304.72,1.59,1.38,1.80,2.01,2.45,2.90,3.33,3.09,3.50,4.50,4.61,5.20,
305.15,1.75,1.68,1.96,2.29,2.78,3.13,3.50,3.74,3.85,5.37,5.26,5.84,
305.59,2.00,2.00,2.32,2.53,3.20,3.64,3.95,4.18,4.29,6.09,6.44,6.44,
306.02,2.13,2.24,2.66,2.91,3.58,4.09,4.33,4.39,5.08,6.41,7.22,7.34,
306.46,2.37,2.53,2.95,3.46,3.80,4.58,4.89,5.18,5.99,7.26,7.60,8.12,
306.89,2.77,2.82,3.45,3.89,4.36,5.20,6.00,6.12,6.82,8.15,8.50,9.20,
307.32,3.06,3.20,3.79,4.26,5.10,5.71,6.37,7.08,7.78,9.06,9.59,10.35,
307.76,3.52,3.48,4.18,4.81,5.76,6.37,7.06,7.76,8.69,9.92,10.79,11.96,
308.19,4.11,4.04,4.74,5.47,6.36,7.17,7.83,8.82,9.41,10.63,11.63,13.09,
308.62,4.51,4.65,5.40,6.25,7.04,8.17,8.69,10.27,9.98,11.86,12.97,14.56,
309.06,4.94,5.22,6.02,6.99,8.02,9.01,9.59,10.82,11.35,13.06,14.30,16.06,
309.49,5.51,5.96,6.81,7.88,8.85,9.91,10.58,12.00,12.65,14.54,15.49,17.62,
309.92,6.15,6.65,7.71,8.75,9.77,10.98,11.47,13.37,13.78,15.91,16.92,18.99,
310.35,6.75,7.27,8.48,9.53,10.88,12.00,12.95,14.79,15.03,17.11,18.66,20.62,
310.79,7.24,8.05,9.26,10.36,11.88,12.87,14.19,15.91,16.80,18.70,20.37,22.33,
311.22,8.10,8.86,10.14,11.18,12.79,14.05,15.45,17.17,18.06,20.01,22.38,23.92,
311.65,8.81,9.79,11.10,12.24,13.86,15.41,16.85,18.45,19.76,21.13,24.17,25.54,
312.09,9.46,10.52,11.86,13.28,14.75,16.54,18.23,19.72,21.32,22.63,25.66,27.26,
312.52,10.34,11.41,12.92,14.38,15.91,17.82,19.80,21.29,23.27,24.58,27.27,29.37,
312.95,11.21,12.39,14.00,15.45,17.28,19.18,20.87,22.98,24.84,26.41,29.17,31.46,
313.38,12.08,13.24,15.00,16.50,18.62,20.55,22.13,24.60,26.35,28.28,31.29,33.46,
313.82,13.00,14.18,15.96,17.62,19.86,21.96,23.78,26.00,27.93,29.92,32.68,35.63,
314.25,13.92,15.39,17.12,18.83,21.09,23.40,25.34,27.75,29.37,32.26,34.61,37.26,
314.68,14.78,16.44,18.25,19.96,22.63,24.92,26.84,28.95,30.99,34.36,37.07,39.48,
315.12,15.61,17.58,19.35,21.23,23.94,26.32,28.33,30.14,33.14,36.26,38.90,41.36,
315.55,16.63,18.52,20.67,22.54,25.05,27.76,29.79,31.88,34.82,38.11,40.68,43.31,
315.98,17.80,19.63,22.02,23.90,26.73,29.48,32.20,33.95,36.90,40.28,43.36,45.71,
316.41,18.76,20.74,23.18,25.14,28.23,30.94,33.78,35.83,38.98,42.36,45.62,48.10,
316.85,19.97,21.73,24.33,26.43,29.51,32.30,35.29,37.22,40.71,44.20,47.52,50.23,
317.28,21.11,23.03,25.49,27.82,30.88,33.96,36.95,38.93,42.12,45.55,49.58,52.29,
