Date,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,2016/07/16,
Time,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,
Sensor Temp.(deg),24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.8,24.7,24.7,24.7,24.8,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
288.21,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,
288.65,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,
289.08,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
289.52,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
289.95,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
290.82,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
291.26,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
293.87,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.04,0.33,0.19,0.14,0.24,0.19,0.13,0.28,0.20,0.23,0.28,0.38,
295.17,0.05,0.31,0.11,0.14,0.21,0.22,0.15,0.32,0.12,0.27,0.22,0.22,
295.61,0.02,0.30,0.14,0.21,0.22,0.25,0.15,0.27,0.17,0.37,0.15,0.22,
296.04,0.02,0.18,0.11,0.20,0.23,0.26,0.15,0.29,0.12,0.44,-0.10,0.20,
296.47,0.07,0.16,0.10,0.07,0.24,0.29,0.32,0.29,0.12,0.34,-0.05,0.19,
296.91,0.08,0.18,0.11,0.10,0.33,0.29,0.36,0.22,0.27,0.34,0.14,0.31,
297.34,0.12,0.20,0.10,0.20,0.37,0.30,0.40,0.21,0.48,0.29,0.14,0.50,
297.78,0.20,0.22,0.16,0.24,0.40,0.34,0.53,0.24,0.43,0.24,0.14,0.46,
298.21,0.22,0.19,0.22,0.24,0.39,0.33,0.56,0.27,0.31,0.31,0.27,0.24,
298.65,0.25,0.30,0.22,0.26,0.41,0.43,0.55,0.53,0.48,0.33,0.29,0.38,
299.08,0.25,0.31,0.22,0.33,0.41,0.51,0.60,0.62,0.62,0.41,0.26,0.48,
299.51,0.18,0.30,0.26,0.36,0.46,0.54,0.48,0.58,0.70,0.74,0.41,0.41,
299.95,0.18,0.33,0.33,0.42,0.51,0.57,0.55,0.53,0.74,0.79,0.57,0.48,
300.38,0.26,0.40,0.37,0.51,0.58,0.64,0.71,0.66,0.78,0.81,0.66,0.52,
300.82,0.33,0.39,0.33,0.58,0.61,0.74,0.87,0.76,0.76,0.85,0.73,0.54,
301.25,0.37,0.42,0.42,0.67,0.68,0.87,1.00,0.67,0.83,1.00,0.76,0.60,
301.68,0.39,0.41,0.52,0.72,0.82,0.95,1.13,0.76,0.90,1.13,0.83,0.78,
302.12,0.55,0.50,0.59,0.70,0.92,1.15,1.43,1.01,1.08,1.15,0.96,0.96,
302.55,0.60,0.63,0.70,0.79,1.02,1.29,1.64,1.06,1.36,1.29,1.27,1.27,
302.99,0.60,0.78,0.83,0.96,1.16,1.43,1.77,1.23,1.67,1.46,1.46,1.58,
303.42,0.75,0.90,1.00,1.14,1.34,1.62,2.09,1.50,1.85,1.64,1.69,1.88,
303.85,0.86,1.03,1.16,1.30,1.52,1.85,2.38,1.79,1.98,1.91,2.00,2.00,
304.29,0.94,1.19,1.30,1.43,1.74,2.08,2.58,2.11,2.25,2.18,2.21,2.25,
304.72,1.05,1.32,1.45,1.70,1.96,2.39,2.87,2.48,2.62,2.52,2.41,2.59,
305.15,1.17,1.40,1.64,1.90,2.18,2.65,3.13,2.69,2.83,3.06,2.57,2.80,
305.59,1.33,1.59,1.86,2.05,2.47,2.96,3.57,2.97,3.23,3.46,2.99,3.16,
306.02,1.54,1.81,2.08,2.39,2.77,3.29,4.04,3.33,3.61,3.74,3.42,3.70,
306.46,1.81,2.02,2.27,2.68,3.17,3.73,4.56,3.82,4.12,4.17,3.78,4.17,
306.89,2.10,2.31,2.68,3.01,3.63,4.26,5.22,4.22,4.61,4.73,4.24,4.61,
307.32,2.40,2.60,3.04,3.36,4.15,4.72,5.80,4.72,5.19,5.38,4.84,5.19,
307.76,2.75,3.01,3.42,3.71,4.64,5.38,6.51,5.53,5.90,5.88,5.34,5.81,
308.19,3.08,3.38,3.81,4.16,5.20,5.98,7.22,6.10,6.68,6.59,6.03,6.50,
308.62,3.32,3.82,4.24,4.67,5.81,6.63,7.77,6.60,7.54,7.54,6.79,7.19,
309.06,3.72,4.24,4.72,5.25,6.47,7.31,8.59,7.18,8.28,8.26,7.51,7.95,
309.49,4.19,4.69,5.20,5.85,7.17,8.10,9.41,7.97,9.03,9.11,8.23,8.61,
309.92,4.63,5.17,5.64,6.38,7.84,8.91,10.27,8.66,9.82,10.01,8.90,9.18,
310.35,5.09,5.70,6.25,7.05,8.56,9.78,11.19,9.39,10.72,10.96,9.55,9.93,
310.79,5.55,6.12,6.76,7.62,9.28,10.62,12.11,10.09,11.50,11.85,10.14,10.71,
311.22,6.08,6.68,7.32,8.11,10.00,11.49,13.22,10.80,12.41,12.67,10.92,11.46,
311.65,6.62,7.30,7.98,8.81,10.91,12.38,14.38,11.55,13.55,13.60,11.93,12.45,
312.09,7.17,7.90,8.58,9.53,11.71,13.24,15.35,12.33,14.56,14.44,12.69,13.47,
312.52,7.85,8.57,9.35,10.28,12.67,14.31,16.58,13.23,15.58,15.43,13.54,14.31,
312.95,8.48,9.29,10.13,11.06,13.58,15.31,17.83,14.15,16.53,16.48,14.56,15.21,
313.38,9.13,10.02,10.83,11.85,14.51,16.36,18.98,15.31,17.61,17.46,15.34,16.09,
313.82,9.74,10.73,11.56,12.71,15.35,17.41,20.10,16.30,18.66,18.44,16.11,17.02,
314.25,10.29,11.34,12.29,13.48,16.29,18.35,21.07,17.14,19.67,19.62,16.93,17.79,
314.68,10.93,12.07,13.06,14.26,17.24,19.38,22.24,18.01,20.78,20.78,17.86,18.73,
315.12,11.66,12.76,13.81,15.07,18.11,20.36,23.46,19.02,21.68,21.73,18.68,19.55,
315.55,12.36,13.46,14.50,15.82,18.99,21.39,24.65,19.98,22.59,22.59,19.41,20.29,
315.98,13.17,14.30,15.46,16.74,20.14,22.60,26.10,20.96,23.69,23.93,20.41,21.35,
316.41,13.86,15.03,16.32,17.63,21.23,23.70,27.41,22.00,24.75,24.97,21.25,22.41,
316.85,14.61,15.80,17.03,18.37,22.14,24.82,28.69,23.08,25.82,25.85,22.09,23.32,
317.28,15.27,16.57,17.81,19.21,23.09,25.83,29.94,23.93,26.98,26.91,23.06,24.26,
317.71,15.92,17.37,18.68,20.13,24.15,26.88,31.09,24.94,28.17,28.19,24.07,25.40,
318.14,16.61,18.09,19.44,21.00,25.04,27.86,32.17,25.94,29.07,29.07,24.91,26.30,
318.57,17.30,18.80,20.19,21.83,25.95,28.93,33.34,26.90,29.91,30.12,25.75,26.97,
319.01,17.94,19.55,20.94,22.64,26.93,29.97,34.54,27.97,30.91,31.19,26.65,27.76,
319.44,18.60,20.32,21.72,23.54,27.88,31.08,35.60,28.96,31.94,32.23,27.33,28.65,
319.87,19.18,20.89,22.38,24.25,28.71,32.00,36.57,29.66,32.75,33.27,27.94,29.33,
320.30,19.86,21.62,23.16,24.96,29.66,33.03,37.71,30.42,33.78,34.28,28.87,30.14,
320.73,20.69,22.48,24.01,25.90,30.78,34.25,39.09,31.45,34.91,35.43,29.91,31.15,
321.17,21.44,23.34,24.82,26.84,31.79,35.41,40.36,32.48,35.98,36.31,30.68,32.13,
321.60,22.49,24.42,26.06,28.13,33.27,37.01,42.21,33.72,37.47,37.78,31.91,33.36,
322.03,23.56,25.56,27.25,29.40,34.75,38.62,44.07,35.17,39.03,39.37,33.31,34.67,
322.46,24.61,26.67,28.35,30.56,36.10,40.20,45.82,36.79,40.64,40.66,34.41,36.03,
322.89,25.57,27.68,29.40,31.67,37.37,41.67,47.39,38.06,42.12,42.05,35.64,37.23,
323.33,26.50,28.82,30.60,32.91,38.89,43.23,49.02,39.35,43.74,43.83,37.06,38.53,
323.76,27.54,29.95,31.79,34.15,40.31,44.79,50.79,40.72,45.25,45.25,38.37,39.85,
324.19,28.56,30.97,32.86,35.32,41.66,46.27,52.40,42.10,46.55,46.37,39.49,40.93,
324.62,29.59,31.98,33.90,36.46,43.01,47.77,54.08,43.50,47.94,47.76,40.65,42.02,
325.05,30.75,33.24,35.30,37.88,44.68,49.54,56.07,45.06,49.71,49.53,42.01,43.54,
325.48,31.76,34.24,36.45,39.05,46.08,51.05,57.77,46.39,51.10,50.98,43.03,44.85,
325.92,32.76,35.23,37.47,40.02,47.34,52.46,59.40,47.55,52.43,52.18,44.20,45.95,
326.35,33.79,36.34,38.63,41.20,48.77,53.99,61.13,48.85,53.98,53.64,45.63,47.29,
326.78,34.61,37.22,39.56,42.23,49.88,55.19,62.62,49.94,55.25,54.73,46.54,48.48,
327.21,35.43,38.06,40.52,43.21,50.94,56.41,64.03,51.00,56.27,55.63,47.47,49.44,
327.64,36.14,38.81,41.31,44.03,51.91,57.41,65.22,51.85,57.12,56.61,48.46,50.17,
328.07,36.68,39.50,41.86,44.60,52.68,58.26,66.09,52.79,57.88,57.26,49.06,50.83,
328.50,37.16,40.02,42.42,45.24,53.33,59.01,66.84,53.47,58.55,57.94,49.51,51.44,
328.93,37.40,40.30,42.76,45.61,53.77,59.40,67.15,53.69,58.91,58.48,49.90,51.57,
329.37,37.66,40.61,43.06,45.89,54.12,59.74,67.58,53.94,59.20,58.82,50.24,51.79,
329.80,37.96,40.89,43.30,46.22,54.41,60.08,67.97,54.20,59.40,58.98,50.43,52.03,
330.23,38.14,41.01,43.35,46.36,54.57,60.23,68.13,54.30,59.42,58.91,50.39,52.04,
330.66,38.55,41.38,43.87,46.81,55.07,60.79,68.79,54.62,59.83,59.43,50.73,52.39,
331.09,38.73,41.59,44.10,47.03,55.37,61.07,69.15,54.80,59.94,59.71,50.75,52.55,
331.52,38.84,41.67,44.07,47.00,55.41,61.22,69.25,54.90,59.92,59.51,50.72,52.62,
331.95,38.77,41.60,44.01,46.90,55.25,61.12,69.11,54.70,59.91,59.38,50.64,52.48,
332.38,38.70,41.58,43.99,46.93,55.23,60.99,68.94,54.63,59.85,59.47,50.60,52.38,
332.81,38.68,41.51,43.92,46.86,55.08,60.82,68.85,54.50,59.65,59.13,50.35,52.26,
333.24,38.61,41.41,43.79,46.71,54.94,60.59,68.61,54.36,59.31,58.86,50.23,51.98,
333.68,38.56,41.40,43.68,46.59,54.84,60.39,68.37,54.27,59.13,58.76,50.03,51.70,
334.11,38.63,41.47,43.76,46.67,54.90,60.46,68.44,54.41,59.18,58.81,49.92,51.67,
334.54,38.63,41.34,43.76,46.68,54.85,60.41,68.34,54.29,59.07,58.76,49.73,51.54,
334.97,38.64,41.34,43.73,46.56,54.88,60.33,68.41,54.13,59.03,58.65,49.75,51.44,
335.40,38.81,41.54,43.88,46.72,55.06,60.48,68.62,54.26,59.14,58.65,49.81,51.63,
335.83,39.01,41.73,44.03,46.96,55.24,60.71,68.88,54.47,59.42,58.71,49.81,51.87,
336.26,39.35,41.97,44.41,47.29,55.63,61.11,69.38,54.76,59.66,59.04,50.09,52.11,
336.69,39.60,42.25,44.73,47.59,55.94,61.45,69.70,55.05,60.01,59.38,50.47,52.33,
337.12,39.87,42.54,44.94,47.83,56.20,61.85,70.10,55.49,60.30,59.54,50.68,52.54,
337.55,40.14,42.84,45.23,48.19,56.55,62.25,70.47,55.79,60.74,59.82,51.10,52.86,
337.98,40.33,43.13,45.50,48.47,56.90,62.54,70.73,55.99,61.10,60.22,51.44,52.97,
338.41,40.58,43.44,45.83,48.84,57.27,62.87,71.17,56.35,61.41,60.46,51.75,53.24,
338.84,40.82,43.69,46.07,49.09,57.54,63.24,71.55,56.61,61.58,60.58,51.93,53.41,
339.27,40.97,43.90,46.18,49.28,57.78,63.49,71.77,56.88,61.69,60.69,52.11,53.45,
339.70,41.27,44.21,46.54,49.64,58.19,63.99,72.29,57.19,62.02,61.16,52.37,53.74,
340.13,41.47,44.40,46.80,49.91,58.54,64.37,72.69,57.45,62.32,61.52,52.52,54.06,
340.56,41.63,44.54,46.94,50.00,58.73,64.58,72.97,57.51,62.45,61.54,52.66,54.20,
340.99,41.65,44.61,47.00,50.03,58.83,64.60,73.03,57.53,62.49,61.56,52.80,54.28,
341.42,41.71,44.69,47.10,50.11,58.86,64.66,73.08,57.55,62.58,61.55,52.78,54.36,
341.85,41.73,44.66,47.15,50.13,58.82,64.67,73.13,57.54,62.42,61.45,52.78,54.26,
342.28,41.67,44.60,47.15,50.00,58.76,64.56,72.99,57.45,62.23,61.24,52.81,54.00,
342.71,41.57,44.57,47.04,49.90,58.64,64.42,72.83,57.41,62.07,61.03,52.58,53.80,
343.14,41.61,44.63,47.09,50.00,58.70,64.54,72.95,57.49,62.04,61.04,52.60,53.86,
343.57,41.55,44.59,47.05,49.97,58.77,64.46,72.75,57.32,61.92,61.09,52.57,53.69,
344.00,41.46,44.52,46.99,49.84,58.69,64.31,72.63,57.14,61.80,60.98,52.44,53.51,
344.43,41.50,44.57,47.03,49.85,58.70,64.29,72.66,57.21,61.71,60.91,52.35,53.45,
344.86,41.57,44.55,46.94,49.84,58.70,64.33,72.66,57.17,61.59,60.74,52.32,53.35,
345.29,41.71,44.65,47.15,49.98,58.87,64.55,72.90,57.21,61.72,60.85,52.41,53.44,
345.72,41.81,44.74,47.31,50.13,58.99,64.68,73.10,57.34,61.81,61.02,52.37,53.51,
346.15,42.05,44.97,47.51,50.30,59.20,65.00,73.36,57.70,62.06,60.98,52.48,53.64,
346.58,42.24,45.18,47.67,50.53,59.43,65.22,73.61,57.86,62.33,61.14,52.71,53.83,
347.01,42.40,45.44,47.95,50.82,59.74,65.53,73.92,58.14,62.70,61.49,53.01,54.11,
347.44,42.79,45.86,48.35,51.26,60.17,66.04,74.49,58.56,63.15,61.89,53.35,54.49,
347.87,43.08,46.20,48.66,51.63,60.54,66.49,74.93,59.02,63.41,62.20,53.71,54.71,
348.30,43.37,46.57,48.97,51.99,60.98,66.96,75.48,59.49,63.80,62.61,54.08,55.02,
348.73,43.80,47.02,49.44,52.55,61.60,67.61,76.17,60.06,64.42,63.19,54.51,55.49,
349.16,44.14,47.36,49.84,52.99,62.14,68.20,76.75,60.57,64.87,63.69,54.87,55.91,
349.59,44.44,47.70,50.18,53.27,62.58,68.62,77.30,60.93,65.38,64.08,55.22,56.16,
350.02,44.46,47.75,50.19,53.24,62.49,68.54,77.31,60.90,65.40,63.94,55.17,56.16,
350.44,44.88,48.16,50.57,53.70,62.98,69.11,78.01,61.42,65.91,64.32,55.57,56.67,
350.87,45.28,48.56,51.03,54.17,63.51,69.69,78.69,61.79,66.35,64.72,55.98,57.07,
351.30,45.65,48.96,51.49,54.57,64.01,70.16,79.29,62.28,66.84,65.21,56.41,57.49,
351.73,46.00,49.37,51.81,54.96,64.47,70.65,79.85,62.87,67.31,65.53,56.76,57.87,
352.16,46.33,49.76,52.17,55.38,64.94,71.17,80.41,63.25,67.76,65.91,57.22,58.31,
352.59,46.45,49.97,52.41,55.66,65.26,71.46,80.66,63.41,68.09,66.34,57.54,58.53,
353.02,46.48,50.02,52.49,55.68,65.29,71.47,80.69,63.40,68.10,66.28,57.57,58.54,
353.45,46.44,49.93,52.42,55.59,65.14,71.39,80.55,63.29,67.83,66.00,57.45,58.32,
353.88,46.30,49.77,52.23,55.42,64.97,71.21,80.41,63.10,67.55,65.67,57.29,58.08,
354.31,45.99,49.44,51.94,55.05,64.61,70.74,79.83,62.60,67.08,65.24,56.83,57.63,
354.73,45.61,48.98,51.48,54.58,64.07,70.18,79.09,62.04,66.44,64.65,56.21,57.09,
355.16,45.26,48.54,50.99,54.05,63.52,69.61,78.46,61.43,65.78,63.96,55.73,56.62,
355.59,44.89,48.16,50.60,53.58,63.00,69.00,77.76,60.83,65.24,63.35,55.32,56.13,
356.02,44.69,47.92,50.35,53.35,62.71,68.67,77.35,60.51,64.89,62.99,54.98,55.91,
356.45,44.55,47.77,50.22,53.23,62.51,68.49,77.11,60.26,64.56,62.63,54.77,55.65,
356.88,44.40,47.61,50.07,53.04,62.35,68.27,76.81,59.99,64.23,62.34,54.66,55.36,
357.31,44.18,47.45,49.88,52.86,62.05,68.01,76.43,59.84,63.89,62.03,54.36,55.04,
357.74,44.02,47.28,49.69,52.76,61.86,67.84,76.12,59.59,63.65,61.76,54.17,54.78,
358.16,43.86,47.17,49.62,52.67,61.76,67.71,75.90,59.34,63.42,61.69,54.11,54.56,
358.59,43.74,47.02,49.51,52.50,61.58,67.50,75.62,59.17,63.25,61.52,53.97,54.38,
359.02,43.90,47.15,49.63,52.63,61.74,67.64,75.81,59.26,63.31,61.56,54.02,54.45,
359.45,44.13,47.32,49.80,52.89,62.01,67.97,76.15,59.57,63.43,61.71,54.22,54.61,
359.88,44.47,47.66,50.24,53.33,62.54,68.48,76.74,59.90,63.87,62.23,54.55,54.96,
360.31,44.95,48.12,50.78,53.89,63.20,69.15,77.44,60.57,64.49,62.90,54.98,55.46,
