Date,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,2016/05/09,
Time,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,100,100,
Sensor Temp.(deg),25.5,25.5,25.5,25.4,25.5,25.4,25.5,25.4,25.5,25.4,25.5,25.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,3.00,3.38,2.00,3.38,3.63,3.38,2.88,1.75,1.88,1.88,1.50,1.63,
295.17,3.87,3.00,2.25,3.62,4.50,3.62,2.75,2.12,2.25,2.00,2.12,1.50,
295.61,3.83,3.09,2.59,3.95,4.69,3.95,3.09,2.47,2.72,2.35,2.72,1.73,
296.04,4.27,3.78,3.54,3.91,4.88,4.15,3.30,2.08,2.69,2.08,2.93,2.32,
296.47,4.62,4.50,3.28,3.40,5.10,4.50,3.52,3.04,2.43,2.43,3.16,1.82,
296.91,4.46,4.70,3.25,3.98,4.58,5.06,3.86,3.86,2.65,2.65,3.61,2.41,
297.34,5.11,4.87,3.44,5.11,4.63,4.63,4.51,3.80,3.56,3.33,4.63,3.68,
297.78,5.55,5.55,4.10,5.67,5.55,4.70,4.34,3.98,4.82,3.86,5.18,3.98,
298.21,6.17,6.65,4.72,6.05,6.41,5.44,5.08,5.08,5.56,4.72,6.17,4.11,
298.65,6.45,6.57,5.50,7.53,6.81,5.98,5.74,5.98,6.22,5.38,6.93,4.90,
299.08,7.17,8.01,6.58,8.25,7.53,6.82,6.58,7.05,7.77,6.22,7.53,6.22,
299.51,8.41,9.13,8.65,9.61,9.25,7.93,7.45,7.33,8.53,7.09,7.81,7.21,
299.95,10.29,10.29,9.57,10.64,10.17,8.97,8.73,9.33,9.81,8.13,8.61,7.65,
300.38,11.84,11.72,11.49,12.20,9.95,11.01,10.18,9.95,10.18,9.12,8.53,8.41,
300.82,14.05,13.34,12.99,13.46,11.57,11.81,11.57,11.22,11.69,10.51,9.21,10.04,
301.25,15.71,14.76,14.76,14.76,13.45,13.33,13.21,12.73,13.45,12.02,10.95,11.19,
301.68,16.90,17.14,16.43,16.08,14.89,14.54,15.01,14.30,15.01,13.71,12.41,12.77,
302.12,18.79,18.90,17.96,18.08,16.56,16.44,16.91,16.09,16.20,15.38,14.09,14.32,
302.55,20.42,21.24,19.95,20.18,18.54,18.31,18.89,18.54,18.54,17.60,15.84,15.96,
302.99,22.78,23.47,22.66,23.13,21.03,19.99,20.92,20.22,20.34,19.41,18.13,18.36,
303.42,26.29,26.29,25.47,26.18,23.83,22.18,23.48,22.65,23.01,21.95,20.54,20.66,
303.85,29.47,30.18,28.88,29.23,26.76,26.17,26.29,25.11,25.11,24.28,21.57,22.40,
304.29,33.12,32.65,32.06,32.30,30.18,28.89,29.01,27.83,27.95,26.66,24.43,24.78,
304.72,36.08,35.50,35.26,35.38,32.93,31.99,31.76,30.94,30.83,29.19,26.86,27.09,
305.15,39.94,39.71,39.24,38.54,36.44,35.04,34.92,33.52,33.98,32.35,30.36,29.78,
305.59,43.99,43.64,42.36,41.44,39.69,38.30,38.07,37.14,36.44,35.28,33.08,32.27,
306.02,47.61,47.49,45.87,45.06,42.29,41.60,41.37,41.02,39.75,38.59,36.63,35.36,
306.46,51.83,51.71,49.87,49.41,46.30,44.80,45.15,44.34,43.30,42.38,41.23,39.62,
306.89,56.97,57.08,55.22,54.87,51.61,49.40,49.75,48.81,48.46,47.18,46.02,43.92,
307.32,62.34,62.92,60.35,59.88,56.72,54.27,54.50,53.68,53.56,51.58,50.41,47.60,
307.76,67.66,67.07,65.79,65.79,61.59,59.02,59.02,58.32,58.21,55.88,54.94,51.44,
308.19,73.26,73.14,71.51,71.27,66.83,64.50,64.15,63.56,63.80,60.76,59.82,56.32,
308.62,79.72,79.13,78.43,77.14,73.03,70.21,69.62,68.21,68.68,65.75,64.81,61.29,
309.06,86.71,85.19,83.77,82.24,78.60,75.77,74.95,74.36,74.01,71.07,70.01,65.65,
309.49,92.94,91.29,90.34,88.81,83.60,82.18,80.76,79.70,78.64,76.98,74.85,70.95,
309.92,99.72,97.24,96.17,94.64,89.31,87.42,86.36,85.29,84.23,82.21,80.56,76.42,
310.35,106.12,103.14,102.91,101.24,95.90,93.16,92.21,90.79,90.43,87.82,86.15,81.76,
310.79,111.52,109.38,108.55,106.53,101.54,98.57,97.74,96.43,95.96,93.23,91.80,86.70,
311.22,117.12,114.52,113.93,112.62,106.70,104.10,103.27,101.73,100.66,98.53,96.99,91.42,
311.65,123.70,121.67,120.60,119.29,112.86,110.36,109.53,108.10,107.03,104.29,102.39,97.51,
312.09,129.60,127.34,127.46,125.92,119.38,115.82,114.99,113.21,111.90,109.64,107.86,102.87,
312.52,137.21,133.98,134.58,133.14,126.32,122.61,121.66,119.86,118.67,115.92,113.64,108.62,
312.95,144.25,141.36,141.96,140.64,132.46,130.17,128.61,125.72,124.39,122.11,118.50,114.17,
313.38,151.70,147.00,148.20,147.00,139.16,136.39,134.58,131.80,130.72,127.58,124.33,119.50,
313.82,157.58,152.65,154.33,152.53,144.82,142.29,140.13,137.24,136.03,132.66,129.89,124.60,
314.25,163.48,159.51,160.47,158.18,150.72,147.59,145.78,142.41,141.69,138.68,135.67,130.01,
314.68,169.72,166.23,165.87,164.30,156.36,153.23,151.78,148.77,146.61,143.96,141.43,134.93,
315.12,174.93,172.17,171.45,170.01,161.48,158.72,156.92,154.64,152.12,149.24,147.08,139.99,
315.55,180.54,178.03,177.19,176.71,167.26,163.19,162.35,159.72,157.21,154.34,152.54,145.96,
315.98,188.62,185.49,184.76,184.64,174.75,169.93,169.45,166.91,164.99,161.61,159.44,152.80,
316.41,195.43,193.01,191.56,191.32,181.53,176.69,175.61,173.07,171.50,167.75,164.49,157.84,
316.85,201.38,197.89,197.17,197.17,187.41,181.99,180.79,178.74,176.81,172.96,169.71,162.48,
317.28,207.12,204.23,203.15,203.51,193.16,187.62,186.42,184.49,183.17,178.47,175.11,167.76,
317.71,213.98,211.33,209.88,209.64,199.64,193.50,192.05,189.76,188.80,184.22,180.73,173.86,
318.14,220.22,216.86,214.81,214.09,204.95,198.82,197.14,195.58,193.53,188.97,185.84,178.15,
318.57,225.74,222.62,220.45,220.21,209.39,204.71,202.42,200.86,198.57,194.25,191.24,183.67,
319.01,232.09,228.97,225.96,226.08,214.78,209.85,208.28,206.36,204.20,199.63,197.46,189.76,
319.44,237.47,234.71,232.07,232.07,221.25,215.12,213.08,211.40,210.19,204.67,203.22,195.05,
319.87,242.01,240.10,236.99,236.51,226.23,219.78,217.51,216.55,215.12,209.38,207.23,199.46,
320.30,247.76,245.62,243.00,243.00,231.92,225.25,222.87,222.27,220.01,214.89,212.74,204.52,
320.73,254.47,252.92,249.83,250.07,238.29,231.27,229.49,228.77,226.99,220.92,219.14,211.17,
321.17,260.81,258.92,257.50,256.67,245.20,237.27,235.38,234.55,232.66,226.63,224.50,217.40,
321.60,271.42,268.69,267.26,266.67,254.54,246.93,244.79,244.32,242.30,235.52,232.67,226.13,
322.03,281.85,279.23,277.91,276.96,263.49,257.65,255.02,253.47,250.73,244.89,240.95,234.76,
322.46,291.90,288.33,287.02,286.19,272.52,266.45,263.48,261.82,259.91,252.90,249.09,243.03,
322.89,300.07,296.29,296.29,294.51,281.04,274.66,271.70,270.17,267.80,260.83,256.93,250.55,
323.33,309.93,306.98,306.39,304.27,290.36,283.76,280.81,279.28,276.56,269.26,266.66,259.35,
323.76,319.77,317.07,315.42,313.78,299.23,292.78,290.20,288.55,284.45,277.99,275.29,268.02,
324.19,328.68,326.24,324.37,322.51,307.82,301.76,298.61,297.33,293.25,286.37,283.34,276.12,
324.62,338.22,335.67,334.17,332.78,317.15,309.97,307.43,305.81,301.87,294.93,292.03,284.74,
325.05,350.11,346.99,345.60,344.79,328.48,320.73,318.19,316.80,313.21,305.58,302.34,294.94,
325.48,360.55,357.44,355.83,355.14,338.36,330.66,327.56,325.72,322.04,314.69,310.09,302.62,
325.92,369.96,365.29,364.83,363.58,347.39,338.85,336.00,334.29,330.64,322.66,318.22,310.01,
326.35,379.51,375.42,374.74,373.49,356.81,348.19,345.47,343.99,339.80,331.40,327.43,318.58,
326.78,387.58,383.31,382.97,381.17,363.96,355.86,353.16,350.58,346.98,338.43,334.61,325.50,
327.21,395.35,390.88,390.21,387.87,371.22,363.51,360.27,358.59,353.67,345.51,341.27,331.32,
327.64,402.51,397.18,396.85,394.85,376.97,370.53,366.31,364.98,359.21,351.66,347.44,337.22,
328.07,407.59,402.30,401.64,399.98,382.03,374.87,371.01,369.69,363.85,355.92,352.95,342.15,
328.50,411.87,406.30,406.62,404.44,386.50,378.95,374.57,373.48,368.66,360.13,357.40,346.35,
328.93,413.90,409.24,409.46,406.86,389.51,381.60,377.27,376.73,371.52,362.75,359.82,348.11,
