Date,2016/09/28,
Time,16:00:00,
Memo,EKO WISER,
Sensor,MS-711,
Exposure Time(msec),200,
Sensor Temp.(deg),25.3,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
434.77,702.85,
435.20,708.78,
435.62,713.90,
436.04,717.94,
436.47,720.29,
436.89,723.39,
437.31,725.55,
437.73,729.28,
438.16,734.27,
438.58,739.08,
439.00,743.94,
439.43,748.37,
439.85,753.21,
440.27,757.52,
440.69,761.82,
441.12,767.99,
441.54,774.17,
441.96,779.09,
442.38,784.62,
442.81,789.93,
443.23,794.98,
443.65,800.24,
444.07,805.28,
444.50,809.49,
444.92,813.32,
445.34,817.73,
445.76,822.18,
446.19,825.40,
446.61,830.34,
447.03,835.73,
447.45,840.65,
447.87,845.29,
448.30,851.38,
448.72,856.06,
449.14,860.77,
449.56,864.68,
449.99,868.41,
450.41,871.24,
450.83,872.90,
451.25,875.16,
451.67,875.18,
452.10,876.30,
452.52,878.53,
452.94,879.80,
453.36,881.16,
453.78,881.57,
454.20,882.74,
454.63,883.13,
455.05,883.40,
455.47,885.17,
455.89,887.51,
456.31,888.41,
456.74,890.07,
457.16,892.73,
457.58,894.52,
458.00,897.58,
458.42,900.47,
458.84,902.90,
459.27,904.85,
459.69,906.97,
460.11,909.33,
460.53,909.25,
460.95,910.61,
461.37,912.35,
461.79,912.48,
462.22,912.03,
462.64,914.56,
463.06,915.49,
463.48,916.92,
463.90,917.69,
464.32,918.09,
464.74,917.64,
465.16,917.05,
465.59,916.50,
466.01,913.76,
466.43,912.39,
466.85,913.79,
467.27,913.44,
467.69,912.77,
468.11,913.38,
468.53,914.96,
468.95,915.74,
469.38,915.10,
469.80,917.22,
470.22,918.98,
470.64,919.25,
471.06,920.61,
471.48,921.41,
471.90,921.97,
472.32,925.59,
472.74,927.41,
473.16,928.36,
473.58,930.23,
474.01,933.43,
474.43,935.94,
474.85,935.08,
475.27,936.95,
475.69,940.22,
476.11,940.17,
476.53,941.27,
476.95,945.90,
477.37,946.71,
477.79,951.00,
478.21,953.73,
478.63,954.92,
479.05,956.08,
479.47,958.58,
479.89,958.80,
480.31,957.17,
480.74,956.43,
481.16,957.82,
481.58,954.13,
482.00,949.95,
482.42,946.63,
482.84,942.55,
483.26,936.11,
483.68,929.26,
484.10,921.76,
484.52,915.65,
484.94,910.91,
485.36,906.83,
485.78,901.34,
486.20,899.13,
486.62,900.70,
487.04,899.93,
487.46,900.82,
487.88,902.51,
488.30,906.38,
488.72,908.56,
489.14,910.80,
489.56,915.18,
489.98,920.89,
490.40,924.58,
490.82,929.30,
491.24,933.20,
491.66,936.02,
492.08,941.79,
492.50,943.88,
492.92,944.45,
493.34,945.81,
493.76,947.29,
494.18,948.31,
494.60,947.84,
495.02,948.21,
495.44,951.67,
495.86,950.75,
496.28,950.41,
496.70,951.33,
497.12,949.89,
497.54,947.49,
497.95,944.73,
498.37,940.48,
498.79,937.30,
499.21,934.12,
499.63,931.09,
500.05,926.54,
500.47,924.64,
500.89,923.81,
501.31,921.37,
501.73,918.61,
502.15,918.30,
502.57,918.22,
502.99,918.77,
503.41,919.38,
503.83,920.97,
504.25,923.38,
504.67,924.32,
505.08,926.56,
505.50,927.67,
505.92,928.77,
506.34,931.18,
506.76,932.05,
507.18,933.98,
507.60,936.59,
508.02,938.86,
508.44,940.92,
508.86,941.04,
509.28,940.52,
509.70,942.48,
510.11,940.53,
510.53,940.44,
510.95,940.49,
511.37,939.52,
511.79,939.07,
512.21,938.91,
512.63,936.31,
513.05,933.42,
513.47,928.86,
513.88,923.43,
514.30,916.60,
514.72,910.49,
515.14,906.08,
515.56,900.85,
515.98,896.07,
516.40,894.64,
516.82,892.50,
517.23,890.98,
517.65,891.13,
518.07,892.20,
518.49,893.56,
518.91,894.58,
519.33,897.83,
519.75,900.29,
520.17,903.84,
520.58,908.88,
521.00,913.77,
521.42,917.94,
521.84,924.90,
522.26,928.73,
522.68,931.60,
523.09,932.45,
523.51,934.00,
523.93,933.64,
524.35,931.60,
524.77,930.84,
525.19,931.25,
525.60,931.20,
526.02,933.38,
526.44,936.46,
526.86,938.90,
527.28,942.18,
527.70,943.60,
528.11,944.33,
528.53,943.50,
528.95,945.37,
529.37,947.88,
529.79,948.70,
530.21,950.07,
530.62,953.55,
531.04,955.21,
531.46,956.26,
531.88,957.61,
532.30,958.71,
532.71,959.26,
533.13,958.21,
533.55,957.30,
533.97,955.92,
534.39,954.43,
534.80,955.14,
535.22,953.77,
535.64,952.30,
536.06,953.85,
536.48,952.68,
536.89,952.08,
537.31,949.90,
537.73,949.37,
538.15,947.37,
538.56,944.51,
538.98,942.25,
539.40,940.80,
539.82,938.69,
540.24,938.92,
540.65,940.38,
541.07,939.51,
541.49,941.04,
541.91,941.45,
542.32,940.31,
542.74,940.23,
543.16,940.31,
543.58,941.87,
543.99,942.67,
544.41,943.06,
544.83,945.89,
545.25,946.02,
545.66,946.59,
546.08,947.51,
546.50,949.51,
546.92,949.41,
547.33,950.58,
547.75,950.83,
548.17,950.64,
548.59,950.10,
549.00,952.45,
549.42,953.67,
549.84,953.55,
550.26,955.36,
550.67,955.95,
551.09,955.10,
551.51,955.23,
551.93,957.13,
552.34,957.52,
552.76,954.90,
553.18,954.84,
553.59,953.73,
554.01,949.69,
554.43,949.47,
554.85,948.21,
555.26,946.41,
555.68,943.40,
556.10,942.21,
556.51,939.10,
556.93,936.04,
557.35,933.60,
557.77,932.89,
558.18,929.55,
558.60,927.46,
559.02,928.02,
559.43,925.95,
559.85,925.57,
560.27,926.48,
560.68,927.27,
561.10,927.79,
561.52,927.54,
561.93,928.62,
562.35,928.98,
562.77,926.77,
563.19,928.14,
563.60,927.85,
564.02,926.14,
564.44,926.07,
564.85,924.88,
565.27,922.82,
565.69,919.84,
566.10,918.36,
566.52,917.29,
566.94,915.22,
567.35,913.56,
567.77,912.66,
