Date,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,
Time,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,500,500,500,500,500,500,500,500,500,500,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.03,0.25,-0.15,0.03,-0.03,0.40,0.20,0.13,0.28,0.48,0.48,
295.17,0.02,0.37,-0.17,-0.05,0.00,0.50,0.12,0.07,0.30,0.35,0.42,
295.61,0.00,0.40,-0.05,-0.05,-0.05,0.52,0.05,0.00,0.37,0.40,0.42,
296.04,0.05,0.32,0.12,0.00,0.02,0.46,0.07,0.00,0.32,0.37,0.66,
296.47,0.24,0.32,0.10,0.02,0.10,0.44,0.15,0.17,0.32,0.39,0.51,
296.91,0.22,0.39,0.02,0.07,0.02,0.31,0.24,0.36,0.36,0.36,0.55,
297.34,0.12,0.52,-0.02,0.21,-0.02,0.40,0.40,0.29,0.36,0.45,0.69,
297.78,0.27,0.58,-0.05,0.24,0.12,0.55,0.29,0.12,0.36,0.41,0.70,
298.21,0.34,0.58,0.15,0.29,0.17,0.53,0.19,0.19,0.51,0.39,0.63,
298.65,0.24,0.62,0.24,0.31,0.19,0.69,0.24,0.26,0.60,0.38,0.62,
299.08,0.29,0.55,0.33,0.19,0.22,0.67,0.14,0.38,0.57,0.50,0.65,
299.51,0.34,0.46,0.48,0.14,0.22,0.72,0.24,0.46,0.65,0.58,0.70,
299.95,0.24,0.50,0.48,0.29,0.36,0.86,0.36,0.50,0.67,0.62,0.81,
300.38,0.24,0.64,0.40,0.43,0.36,0.92,0.28,0.50,0.52,0.73,0.90,
300.82,0.26,0.71,0.33,0.40,0.43,0.99,0.28,0.54,0.59,0.68,0.90,
301.25,0.29,0.69,0.40,0.33,0.50,0.98,0.33,0.62,0.76,0.67,1.05,
301.68,0.40,0.54,0.52,0.50,0.52,0.85,0.43,0.73,0.83,0.71,1.23,
302.12,0.66,0.52,0.49,0.47,0.61,0.80,0.63,0.94,0.87,0.77,1.20,
302.55,0.68,0.54,0.47,0.38,0.54,0.75,0.77,1.24,1.06,0.89,1.22,
302.99,0.58,0.49,0.44,0.53,0.51,0.88,1.00,1.26,1.16,1.05,1.46,
303.42,0.73,0.56,0.47,0.63,0.68,1.08,1.03,1.20,1.27,1.34,1.57,
303.85,0.83,0.64,0.64,0.66,0.78,1.18,1.04,1.41,1.51,1.51,1.79,
304.29,0.75,0.75,0.80,0.66,0.87,1.39,1.15,1.57,1.74,1.71,2.04,
304.72,0.84,0.77,0.93,0.68,0.93,1.45,1.19,1.70,1.94,2.08,2.31,
305.15,1.00,0.75,1.07,0.72,1.05,1.49,1.45,1.96,2.15,2.38,2.66,
305.59,1.04,0.91,1.09,0.95,1.32,1.65,1.79,2.16,2.39,2.62,3.02,
306.02,1.11,1.13,1.09,1.22,1.46,1.85,2.03,2.40,2.57,3.00,3.49,
306.46,1.34,1.31,1.13,1.41,1.59,2.12,2.44,2.65,2.90,3.36,4.01,
306.89,1.54,1.56,1.35,1.61,1.79,2.38,2.80,3.10,3.45,3.84,4.54,
307.32,1.82,1.71,1.73,2.01,2.03,2.55,3.23,3.63,4.05,4.35,5.19,
307.76,2.12,2.01,2.01,2.24,2.24,2.87,3.71,4.18,4.55,4.97,5.74,
308.19,2.38,2.24,2.24,2.38,2.48,3.20,4.16,4.84,5.19,5.63,6.38,
308.62,2.54,2.44,2.58,2.79,2.77,3.62,4.77,5.49,5.89,6.39,7.26,
309.06,2.80,2.89,2.85,3.34,3.25,4.24,5.27,6.00,6.57,7.29,8.12,
309.49,3.19,3.43,3.26,3.74,3.67,4.85,5.75,6.69,7.28,8.18,9.11,
309.92,3.50,3.90,3.60,4.12,4.09,5.49,6.29,7.48,8.16,8.97,10.08,
310.35,3.95,4.33,4.14,4.59,4.56,5.97,6.99,8.22,9.08,9.93,11.07,
310.79,4.49,4.73,4.61,5.11,5.13,6.51,7.81,9.07,9.90,10.95,12.26,
311.22,5.02,5.16,5.07,5.64,5.73,7.08,8.74,10.04,10.78,11.80,13.31,
311.65,5.52,5.81,5.52,6.33,6.21,7.74,9.64,11.17,11.86,12.93,14.64,
312.09,6.03,6.44,6.08,7.01,6.70,8.53,10.57,12.09,12.85,14.04,15.85,
312.52,6.75,7.15,6.77,7.73,7.34,9.31,11.46,13.25,14.21,15.34,17.23,
312.95,7.46,7.89,7.58,8.54,8.01,10.13,12.27,14.48,15.57,16.63,18.67,
313.38,8.15,8.71,8.34,9.29,8.80,11.00,13.36,15.75,16.93,17.94,20.09,
313.82,8.88,9.37,9.10,9.85,9.49,11.77,14.23,16.97,18.08,19.24,21.45,
314.25,9.58,10.04,9.94,10.62,10.26,12.66,15.41,18.25,19.41,20.66,22.97,
314.68,10.23,10.91,10.64,11.63,11.24,13.77,16.56,19.48,20.70,22.08,24.60,
315.12,11.05,11.91,11.36,12.58,12.03,14.84,17.67,20.72,21.88,23.53,26.15,
315.55,11.89,12.78,12.16,13.40,12.83,15.84,18.71,21.89,23.23,24.81,27.64,
315.98,12.88,13.82,13.15,14.38,13.87,16.93,20.12,23.42,24.99,26.41,29.60,
316.41,13.92,14.70,14.26,15.45,14.87,17.86,21.51,24.95,26.40,28.01,31.47,
316.85,14.94,15.56,15.15,16.36,15.78,18.86,22.81,26.47,27.80,29.51,33.05,
317.28,15.86,16.56,16.03,17.28,16.54,19.74,24.14,28.16,29.44,31.12,34.68,
317.71,16.82,17.57,16.92,18.48,17.40,20.94,25.52,29.62,30.94,32.82,36.51,
318.14,17.89,18.68,17.81,19.45,18.37,22.02,26.71,30.92,32.38,34.43,38.11,
318.57,18.92,19.74,18.82,20.51,19.38,23.15,27.91,32.36,34.04,36.06,39.76,
319.01,19.89,20.88,19.87,21.50,20.42,24.36,29.15,33.84,35.55,37.59,41.56,
319.44,21.03,21.90,20.91,22.43,21.42,25.38,30.43,35.26,36.99,39.32,43.22,
319.87,22.11,22.80,21.94,23.30,22.32,26.41,31.69,36.71,38.27,40.82,44.82,
320.30,23.16,23.89,22.89,24.49,23.56,27.61,33.14,38.24,39.81,42.48,46.60,
320.73,24.39,25.27,23.89,25.82,24.67,28.93,34.69,39.85,41.40,44.40,48.68,
321.17,25.69,26.59,24.96,26.92,25.71,30.19,36.15,41.42,43.08,46.18,50.51,
321.60,27.23,28.18,26.46,28.39,27.20,31.74,38.04,43.61,45.46,48.53,53.17,
322.03,28.90,29.78,28.09,30.02,28.66,33.38,40.11,46.07,47.86,51.08,55.96,
322.46,30.58,31.34,29.58,31.44,30.06,34.84,42.09,48.34,50.06,53.50,58.31,
322.89,32.03,32.88,30.85,32.76,31.22,36.33,43.96,50.61,52.38,55.74,60.65,
323.33,33.55,34.49,32.35,34.56,32.70,38.05,46.09,52.88,54.75,58.31,63.33,
323.76,35.25,36.31,33.77,36.21,34.22,39.87,48.09,55.01,57.03,60.76,65.97,
324.19,36.81,38.04,35.25,37.62,35.67,41.54,49.84,57.18,59.26,63.03,68.56,
324.62,38.31,39.66,36.67,39.12,37.09,43.22,51.67,59.36,61.51,65.28,71.09,
325.05,40.23,41.50,38.47,40.74,38.68,45.04,53.92,61.97,64.17,68.06,74.12,
325.48,41.93,43.12,40.04,42.27,40.20,46.64,56.04,64.32,66.52,70.57,76.75,
325.92,43.40,44.68,41.37,43.86,41.71,48.23,57.99,66.54,68.66,72.76,79.26,
326.35,45.00,46.45,42.75,45.63,43.16,49.83,60.09,68.94,71.09,75.29,82.00,
326.78,46.47,48.00,43.98,46.90,44.27,51.33,61.90,70.77,72.97,77.34,84.31,
327.21,47.87,49.46,45.28,48.18,45.48,52.70,63.36,72.75,75.09,79.34,86.56,
327.64,49.15,50.72,46.57,49.57,46.59,53.90,64.87,74.57,76.95,81.12,88.65,
328.07,50.41,51.84,47.52,50.45,47.48,54.86,66.12,76.08,78.41,82.68,90.18,
328.50,51.37,52.73,48.37,51.22,48.29,55.62,67.17,77.34,79.73,83.97,91.56,
328.93,52.00,53.41,49.10,51.98,48.84,56.36,68.06,78.34,80.68,84.97,92.71,
329.37,52.58,54.20,49.62,52.73,49.51,57.23,68.81,79.08,81.47,85.89,93.74,
329.80,53.20,55.01,50.13,53.24,50.05,57.87,69.36,79.82,82.08,86.67,94.64,
330.23,53.54,55.46,50.44,53.64,50.44,58.34,69.67,80.34,82.63,87.13,95.10,
330.66,54.37,56.30,51.24,54.30,51.15,59.14,70.58,81.38,83.78,88.30,96.39,
331.09,54.93,56.87,51.82,54.80,51.63,59.55,71.24,82.12,84.44,89.10,97.31,
331.52,55.25,57.28,52.09,55.17,51.92,59.74,71.58,82.54,84.80,89.55,97.80,
331.95,55.32,57.46,52.11,55.32,51.88,59.69,71.72,82.78,85.01,89.58,97.98,
332.38,55.48,57.67,52.20,55.54,51.90,59.89,71.98,82.97,85.25,89.85,98.29,
332.81,55.64,57.87,52.28,55.56,51.92,60.01,71.91,82.93,85.34,89.85,98.34,
333.24,55.77,57.91,52.36,55.67,51.96,59.97,71.82,82.98,85.36,89.82,98.31,
333.68,55.93,58.05,52.40,55.62,52.01,60.01,71.82,83.04,85.37,89.85,98.24,
334.11,56.24,58.30,52.66,55.64,52.19,60.19,72.04,83.45,85.68,90.24,98.53,
334.54,56.33,58.41,52.87,55.80,52.27,60.28,72.19,83.60,85.87,90.35,98.78,
334.97,56.41,58.62,52.96,56.03,52.52,60.40,72.40,83.76,85.96,90.54,98.97,
335.40,56.74,59.10,53.15,56.34,52.78,60.74,72.73,84.13,86.29,91.02,99.55,
335.83,57.21,59.57,53.44,56.62,53.04,61.09,73.13,84.61,86.82,91.53,100.08,
336.26,57.81,60.11,53.99,57.06,53.51,61.58,73.77,85.36,87.75,92.36,101.09,
336.69,58.43,60.59,54.51,57.58,53.89,61.92,74.49,86.10,88.45,93.06,102.07,
337.12,58.97,61.09,54.91,57.98,54.23,62.24,75.11,86.88,89.09,93.76,102.68,
337.55,59.50,61.59,55.29,58.47,54.60,62.66,75.78,87.75,89.93,94.51,103.48,
337.98,60.01,62.01,55.64,58.94,54.97,63.21,76.47,88.41,90.61,95.23,104.22,
338.41,60.65,62.63,56.04,59.47,55.43,63.83,77.06,89.03,91.30,96.09,105.11,
338.84,61.18,63.23,56.49,59.79,55.80,64.31,77.53,89.66,91.94,96.66,105.80,
339.27,61.52,63.65,56.76,60.09,56.17,64.67,77.92,90.19,92.54,97.26,106.42,
339.70,62.10,64.30,57.36,60.47,56.59,65.23,78.57,91.06,93.45,98.14,107.34,
340.13,62.57,64.80,57.83,60.90,57.04,65.70,79.25,91.76,94.16,98.91,108.21,
340.56,62.82,65.16,58.09,61.24,57.37,66.02,79.70,92.11,94.55,99.40,108.71,
340.99,62.98,65.46,58.11,61.50,57.50,66.17,79.92,92.41,94.76,99.72,109.05,
341.42,63.20,65.73,58.12,61.54,57.57,66.40,80.09,92.54,95.01,100.01,109.28,
341.85,63.30,65.84,58.19,61.48,57.64,66.39,80.05,92.61,95.19,100.14,109.40,
342.28,63.33,65.81,58.24,61.53,57.58,66.24,80.01,92.63,95.20,100.10,109.39,
342.71,63.39,65.79,58.15,61.39,57.49,66.13,80.00,92.64,95.13,99.97,109.17,
343.14,63.51,65.98,58.28,61.39,57.52,66.20,80.11,92.93,95.32,100.24,109.34,
