Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
1	01.09.2016	07:05:00	7,158	0,0274	0,196	10,249	0,0403	47,4	6,3	15,2	1,6	2	0	500
1	01.09.2016	07:10:00	8,522	0,0413	0,352	12,610	0,0620	45,0	9,9	15,2	2,7	2	0	500
1	01.09.2016	07:15:00	10,799	0,0918	0,991	16,085	0,1287	47,9	20,3	15,2	18,4	2	0	500
1	01.09.2016	07:20:00	11,717	0,0973	1,140	16,426	0,1421	48,8	22,6	15,6	21,3	2	0	500
1	01.09.2016	07:25:00	11,528	0,0895	1,032	16,196	0,1330	47,9	21,4	15,9	20,6	2	0	500
1	01.09.2016	07:30:00	10,841	0,0834	0,904	15,775	0,1181	48,5	19,6	16,2	19,3	2	0	500
1	01.09.2016	07:35:00	10,658	0,0949	1,012	16,155	0,1305	48,0	21,3	16,6	20,9	2	0	500
1	01.09.2016	07:40:00	12,732	0,1732	2,205	17,787	0,2298	54,0	37,4	16,9	36,3	2	0	500
1	01.09.2016	07:45:00	13,317	0,1630	2,171	17,760	0,2271	53,8	36,4	17,2	35,8	2	0	500
1	01.09.2016	07:50:00	13,875	0,1896	2,631	18,120	0,2641	55,0	42,2	17,5	42,0	2	0	500
1	01.09.2016	07:55:00	12,999	0,1640	2,132	17,756	0,2258	53,2	36,1	17,6	36,3	2	0	500
1	01.09.2016	08:00:00	13,667	0,1969	2,691	18,120	0,2690	55,2	42,9	18,0	42,9	2	0	500
1	01.09.2016	08:05:00	13,679	0,2474	3,384	18,510	0,3207	57,0	50,8	18,4	50,8	2	0	500
1	01.09.2016	08:10:00	14,861	0,3520	5,232	19,131	0,4544	60,2	72,8	18,8	74,1	2	0	500
1	01.09.2016	08:15:00	15,263	0,4934	7,530	19,640	0,6127	62,6	97,2	19,2	96,8	2	0	500
1	01.09.2016	08:20:00	15,853	0,6659	10,557	20,087	0,8171	64,3	131,0	20,0	130,6	2	0	1000
1	01.09.2016	08:25:00	15,430	0,4710	7,268	19,540	0,5956	62,4	96,2	20,8	97,5	2	0	500
