Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
1	02.05.2016	08:25:00	16,534	0,7146	11,816	21,347	1,1185	49,5	177,1	11,3	214,7	2	0	1000
1	02.05.2016	08:30:00	14,585	1,3262	19,343	21,962	1,6362	53,8	257,3	11,3	300,0	2	0	1500
1	02.05.2016	08:35:00	18,220	0,9093	16,568	21,822	1,7395	43,6	273,7	11,9	315,4	2	0	1500
1	02.05.2016	08:40:00	17,180	1,1397	19,579	21,766	1,8045	49,8	284,8	12,2	323,8	2	0	1500
1	02.05.2016	08:45:00	18,843	1,1280	21,255	21,668	1,8419	53,3	292,5	13,6	328,8	2	0	1500
1	02.05.2016	08:50:00	16,502	1,2957	21,382	21,571	1,8938	52,3	304,0	14,2	337,9	2	0	2000
1	02.05.2016	08:55:00	17,070	1,4580	24,888	21,612	2,0345	56,6	327,4	15,6	362,1	2	0	2000
1	02.05.2016	09:00:00	16,184	1,7991	29,117	21,691	2,3317	57,6	374,4	17,0	412,5	2	0	2000
1	02.05.2016	09:05:00	16,945	1,5798	26,770	21,518	2,3198	53,6	376,7	17,6	411,1	2	0	2000
1	02.05.2016	09:10:00	13,757	2,0723	28,507	21,542	2,4915	53,1	406,1	18,4	441,3	2	0	2500
1	02.05.2016	09:15:00	15,076	2,1258	32,049	21,526	2,5306	58,8	413,2	18,8	445,1	2	0	2500
1	02.05.2016	09:20:00	16,756	1,9197	32,166	21,502	2,5761	58,1	423,0	20,0	453,7	2	0	2500
1	02.05.2016	09:25:00	13,850	1,8063	25,017	21,346	2,6021	45,0	433,9	21,3	463,0	2	0	2500
1	02.05.2016	09:30:00	18,185	1,5610	28,387	21,387	2,6768	49,6	445,6	22,2	473,7	2	0	2500
1	02.05.2016	09:35:00	15,882	2,2975	36,489	21,408	2,7804	61,3	459,1	22,8	485,5	2	0	2500
1	02.05.2016	09:40:00	16,650	2,4990	41,608	21,552	3,0032	64,3	494,1	20,9	523,4	2	0	2500
1	02.05.2016	09:45:00	15,882	2,7289	43,341	21,574	3,1413	64,0	516,4	22,2	547,2	2	0	3000
1	02.05.2016	09:50:00	16,573	2,6470	43,867	21,470	3,1999	63,8	527,6	23,1	556,2	2	0	3000
1	02.05.2016	09:55:00	16,152	2,6278	42,445	21,369	3,1148	63,8	514,5	22,2	538,8	2	0	3000
1	02.05.2016	10:00:00	16,075	2,7152	43,646	21,393	3,2009	63,7	528,6	23,1	554,0	2	0	3000
1	02.05.2016	10:05:00	15,972	3,0173	48,193	21,415	3,5564	63,3	588,3	25,5	617,7	2	1	3000
1	02.05.2016	10:10:00	15,905	3,0913	49,167	21,275	3,6725	62,9	610,3	26,5	637,4	2	1	3500
1	02.05.2016	10:15:00	15,995	3,0798	49,261	21,210	3,7057	62,7	618,5	28,3	639,9	2	1	3500
1	02.05.2016	10:20:00	15,658	2,6386	41,314	20,924	3,1292	63,1	522,0	27,6	544,9	2	0	3000
1	02.05.2016	10:25:00	15,423	3,0420	46,916	20,966	3,5749	62,6	596,3	28,8	620,4	2	1	3000
1	02.05.2016	10:30:00	15,458	3,1500	48,694	21,025	3,6925	62,7	616,4	28,8	640,8	2	1	3500
1	02.05.2016	10:35:00	15,545	3,1595	49,115	21,136	3,7072	62,7	619,1	27,4	644,7	2	1	3500
1	02.05.2016	10:40:00	15,545	3,1639	49,183	21,151	3,7037	62,8	618,4	27,5	640,1	2	1	3500
1	02.05.2016	10:45:00	15,571	3,0505	47,499	21,093	3,5931	62,7	600,2	27,4	625,6	2	1	3500
1	02.05.2016	10:50:00	15,545	3,5718	55,524	21,235	4,2086	62,1	703,4	28,5	729,7	2	1	4000
1	02.05.2016	10:55:00	15,847	3,5742	56,641	21,183	4,3142	62,0	720,0	28,8	747,6	2	1	4000
1	02.05.2016	11:00:00	15,808	3,6876	58,296	21,089	4,4507	62,1	739,0	30,2	765,3	2	1	4000
1	02.05.2016	11:05:00	15,844	3,8221	60,556	21,093	4,6371	61,9	764,9	29,8	793,0	2	1	4000
1	02.05.2016	11:10:00	15,494	4,1378	64,110	21,183	4,9062	61,7	799,9	28,8	831,1	2	1	4000
1	02.05.2016	11:15:00	15,613	3,9496	61,664	21,040	4,8125	60,9	766,0	29,8	794,3	2	1	4000
1	02.05.2016	11:20:00	15,295	4,3761	66,931	21,106	5,2209	60,7	825,5	30,5	856,2	2	1	4500
1	02.05.2016	11:25:00	15,141	4,3868	66,419	21,070	5,0617	62,3	820,6	29,5	853,5	2	1	4500
1	02.05.2016	11:30:00	15,613	4,2226	65,926	21,094	5,0897	61,4	844,3	28,8	877,6	2	1	4500
1	02.05.2016	11:35:00	15,561	4,1429	64,469	20,887	5,0972	60,6	855,3	31,2	889,3	2	1	4500
1	02.05.2016	11:40:00	15,073	4,2695	64,355	20,801	5,1255	60,4	864,0	32,8	895,7	2	1	4500
1	02.05.2016	11:45:00	14,839	4,4533	66,081	20,913	5,2228	60,5	879,7	32,0	912,7	2	1	4500
1	02.05.2016	11:50:00	15,179	4,1473	62,953	20,883	4,9517	60,9	832,7	30,7	873,0	2	1	4500
1	02.05.2016	11:55:00	15,054	4,4787	67,422	20,838	5,3141	60,9	892,7	32,2	927,7	2	1	4500
1	02.05.2016	12:00:00	15,198	4,5423	69,035	20,921	5,4574	60,5	915,8	32,5	951,9	2	1	5000
1	02.05.2016	12:05:00	14,919	4,2580	63,526	20,764	5,0471	60,6	845,9	32,1	883,0	2	1	4500
1	02.05.2016	12:10:00	15,195	4,1666	63,313	20,951	4,9469	61,1	825,9	31,1	854,4	2	1	4500
1	02.05.2016	12:15:00	14,935	4,0193	60,028	20,819	4,7103	61,2	785,5	32,7	812,7	2	1	4000
1	02.05.2016	12:20:00	15,121	4,1779	63,175	21,009	4,9036	61,3	816,1	31,1	842,2	2	1	4500
1	02.05.2016	12:25:00	14,659	3,5222	51,631	20,589	4,0685	61,6	675,4	31,5	693,7	2	1	3500
1	02.05.2016	12:30:00	15,137	4,2800	64,788	20,813	5,1288	60,7	855,1	31,7	891,4	2	1	4500
1	02.05.2016	12:35:00	14,974	4,0982	61,365	20,696	4,8671	60,9	810,4	32,7	842,0	2	1	4500
