
14.12.2015	12:28:03
V	I	G
[V]	[A]	[W/m²]
15,5130	0,1278	67,0454
15,6126	0,1278	67,0454
15,6832	0,1282	66,9744
15,7699	0,1282	66,8681
15,8245	0,1283	66,7617
15,8470	0,1277	66,6554
15,8952	0,1272	66,7263
15,9754	0,1273	66,7263
16,0397	0,1274	66,8326
16,1007	0,1272	66,9035
16,2099	0,1274	67,0454
16,3094	0,1268	67,0454
16,3062	0,1278	66,9744
16,4571	0,1277	66,8681
16,4411	0,1281	66,8326
16,5727	0,1273	66,7972
16,4924	0,1271	66,7263
16,6594	0,1267	66,7617
16,7204	0,1273	66,7972
16,7943	0,1265	66,8326
16,8874	0,1266	66,9035
16,9645	0,1266	66,9035
17,0512	0,1267	66,9035
17,1411	0,1268	66,8681
17,2182	0,1276	66,8326
17,2824	0,1278	66,7972
17,3016	0,1266	66,7617
17,3562	0,1267	66,7972
17,4172	0,1259	66,8326
17,4718	0,1263	66,8681
17,5778	0,1262	66,9744
17,6163	0,1265	66,9035
17,7576	0,1263	66,9035
17,7512	0,1267	66,8326
17,9021	0,1265	66,7972
17,8668	0,1266	66,7263
17,9920	0,1259	66,7617
18,0306	0,1259	66,8326
18,1076	0,1252	66,8681
18,1847	0,1259	67,0454
18,2746	0,1254	67,0099
18,3742	0,1263	66,9035
18,4609	0,1257	66,8681
18,5155	0,1259	66,7263
18,5540	0,1255	66,5844
18,5957	0,1254	66,6554
18,6407	0,1247	66,7617
18,6632	0,1250	66,8326
18,7756	0,1254	66,9744
18,8912	0,1247	67,0454
18,9361	0,1257	66,9035
19,0678	0,1254	66,9744
19,1031	0,1256	66,9035
19,2155	0,1256	66,8326
19,2059	0,1259	66,7617
19,2861	0,1250	66,7263
19,3054	0,1254	66,7972
19,4114	0,1245	66,8326
19,4916	0,1246	66,8681
19,5751	0,1246	67,0099
19,6522	0,1247	67,0099
19,7421	0,1249	67,0099
19,8224	0,1249	66,8681
19,8834	0,1250	66,7617
19,9251	0,1249	66,7263
19,9540	0,1241	66,7263
20,0054	0,1241	66,7263
20,0472	0,1239	66,7617
20,1242	0,1235	66,8326
20,2270	0,1240	66,9744
20,3426	0,1244	66,9744
20,3298	0,1246	67,0099
20,4903	0,1249	66,9035
20,5224	0,1241	66,8681
20,6188	0,1241	66,7263
20,6252	0,1244	66,7263
20,6798	0,1234	66,7617
20,7600	0,1230	66,8326
20,8275	0,1234	66,8326
20,9142	0,1232	66,9744
21,0105	0,1232	67,0099
21,0779	0,1232	67,0099
21,1679	0,1241	67,0099
21,2417	0,1235	66,8681
21,2225	0,1235	66,8326
21,3284	0,1235	66,7617
21,1068	0,1232	66,7263
21,4248	0,1228	66,7972
21,4633	0,1225	66,7972
21,5725	0,1230	66,7972
21,6527	0,1222	66,9035
21,7491	0,1225	66,9744
21,8101	0,1232	66,9035
21,9064	0,1229	66,7617
21,9321	0,1229	66,7263
21,9771	0,1225	66,6554
21,9931	0,1221	66,7263
22,0927	0,1217	66,7972
22,1665	0,1217	66,8681
22,2372	0,1221	66,9035
22,3399	0,1219	67,0099
22,4234	0,1227	66,9744
22,4909	0,1227	66,8681
22,3624	0,1225	66,8326
22,6129	0,1219	66,7263
22,4555	0,1221	66,6199
22,7124	0,1216	66,7617
22,7381	0,1212	66,7617
22,8280	0,1212	66,8326
22,8858	0,1208	66,8681
22,9500	0,1207	66,9035
23,0528	0,1217	66,9744
23,1363	0,1216	66,9744
23,2134	0,1216	66,9744
23,2904	0,1213	66,7972
23,3225	0,1219	66,7617
23,3771	0,1212	66,7617
23,4157	0,1208	66,7972
23,4670	0,1202	66,7972
23,5345	0,1201	66,8326
23,6148	0,1205	66,9035
23,7207	0,1205	66,9035
23,7496	0,1213	66,8326
23,8716	0,1207	66,7617
23,7496	0,1207	66,6554
23,9551	0,1205	66,7263
23,8781	0,1200	66,7972
24,0675	0,1195	66,8681
24,1382	0,1203	67,0099
24,2441	0,1200	67,0099
24,3244	0,1197	67,0099
24,3983	0,1201	67,0099
24,4529	0,1205	66,8681
24,5299	0,1203	66,7972
24,5524	0,1197	66,7263
24,5942	0,1192	66,6554
24,6198	0,1191	66,7617
24,7162	0,1186	66,8326
24,7804	0,1191	66,9035
24,8061	0,1191	66,9744
24,9474	0,1194	67,0808
24,8350	0,1189	66,9035
25,0790	0,1194	66,9744
25,0244	0,1197	66,7972
25,1882	0,1185	66,7263
25,1208	0,1191	66,7263
25,2653	0,1185	66,7617
25,3456	0,1182	66,7972
25,4258	0,1180	66,8326
25,5061	0,1185	66,9744
25,5960	0,1181	66,9744
25,6699	0,1186	66,9035
25,7181	0,1189	66,8326
25,8015	0,1185	66,7617
25,8337	0,1182	66,7617
25,8722	0,1176	66,7263
25,9171	0,1176	66,7617
25,9910	0,1175	66,7972
26,0071	0,1176	66,8681
26,1419	0,1174	66,9744
26,1740	0,1176	66,8681
26,3025	0,1179	66,9744
26,3539	0,1179	66,9035
26,4277	0,1176	66,8681
26,4213	0,1175	66,7617
26,5497	0,1168	66,7617
26,5626	0,1173	66,6554
26,6397	0,1168	66,6554
26,6814	0,1165	66,7617
26,7456	0,1162	66,8326
26,8098	0,1164	66,9035
26,9030	0,1163	66,9744
26,9800	0,1164	66,9744
27,0635	0,1163	66,9744
27,1374	0,1165	66,8326
27,1374	0,1165	66,7263
27,2466	0,1164	66,6199
27,2433	0,1163	66,6554
27,3140	0,1153	66,7617
27,3429	0,1154	66,8326
27,4521	0,1158	66,9035
27,4135	0,1157	66,9744
27,6062	0,1153	67,0099
27,6447	0,1157	66,9035
27,7764	0,1157	66,8326
27,7957	0,1153	66,7263
27,8567	0,1153	66,7263
27,8920	0,1152	66,7263
27,9498	0,1144	66,7263
27,9851	0,1146	66,7972
28,0590	0,1142	66,8326
28,1360	0,1140	66,8681
28,2260	0,1148	66,9744
28,3127	0,1144	66,8681
28,1810	0,1152	66,8681
28,4347	0,1144	66,7972
28,2966	0,1146	66,7263
28,5117	0,1142	66,7617
28,5406	0,1133	66,8326
28,6145	0,1136	66,8326
28,6659	0,1131	66,9035
28,7558	0,1133	66,9744
28,8361	0,1137	66,9035
28,9196	0,1131	66,8681
28,9613	0,1137	66,7617
29,0320	0,1135	66,6554
29,0705	0,1136	66,6199
29,1219	0,1126	66,6554
29,1700	0,1126	66,6554
29,2182	0,1125	66,7617
29,2921	0,1126	66,9035
29,3691	0,1127	67,0099
29,4462	0,1129	67,0808
29,2888	0,1130	67,0099
29,6035	0,1127	66,8681
29,5393	0,1129	66,7617
29,6806	0,1125	66,6554
29,7127	0,1124	66,6554
29,7705	0,1116	66,7263
29,8347	0,1115	66,7617
29,8990	0,1113	66,7972
29,9407	0,1113	66,8681
30,0659	0,1113	66,9035
30,1398	0,1119	66,8681
30,1976	0,1113	66,8326
30,2233	0,1113	66,7263
30,2650	0,1108	66,7617
30,3164	0,1110	66,7617
30,3646	0,1103	66,8326
30,4256	0,1102	66,8681
30,4673	0,1100	66,9035
30,5894	0,1099	66,8681
30,6118	0,1106	66,8681
30,7242	0,1105	66,8681
30,6953	0,1108	66,7972
30,8623	0,1106	66,8326
30,8173	0,1106	66,7972
30,9201	0,1100	66,7617
30,9747	0,1097	66,7263
31,0357	0,1094	66,7617
31,0678	0,1089	66,7617
31,1320	0,1089	66,7972
31,2027	0,1086	66,7972
31,2701	0,1090	66,9035
31,3376	0,1088	66,8681
31,4275	0,1089	66,9035
31,4885	0,1090	66,8326
31,5366	0,1089	66,7972
31,5720	0,1086	66,7617
31,5944	0,1088	66,7617
31,6811	0,1079	66,7263
31,6844	0,1078	66,7263
31,7711	0,1079	66,7617
31,7293	0,1076	66,8326
31,8899	0,1066	66,8681
31,9156	0,1076	66,9035
32,0183	0,1073	66,9035
32,0954	0,1078	67,0099
32,1692	0,1070	66,9744
32,2303	0,1067	66,9035
32,3041	0,1075	66,9035
32,3715	0,1073	66,8681
32,4069	0,1073	66,7972
32,4550	0,1070	66,7263
32,4936	0,1067	66,7263
