
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
11,7014	4,4912	835,6028
12,2409	4,4428	835,6028
12,7482	4,3812	835,4965
13,2909	4,3052	835,6028
13,8272	4,2160	835,5674
14,3217	4,1082	835,7092
14,7745	3,9860	835,6737
15,2176	3,8453	835,6028
15,6351	3,6925	835,6028
16,0172	3,5205	835,4965
16,4057	3,3394	835,4610
16,7975	3,1463	835,4965
17,1218	2,9532	835,6028
17,4044	2,7567	835,4965
17,6902	2,5637	835,6028
17,9599	2,3789	835,4965
18,1783	2,1998	835,4965
18,3710	2,0260	835,3546
18,6022	1,8645	835,3901
18,7659	1,7144	835,3901
18,9168	1,5724	835,3901
19,0903	1,4414	835,3901
19,2508	1,3178	835,4610
19,3439	1,2063	835,4256
19,4306	1,1017	835,3192
19,5398	1,0071	835,3192
19,6426	0,9199	835,2128
19,7132	0,8427	835,3546
19,7967	0,7693	835,3192
19,9059	0,7024	835,3901
19,9251	0,6432	835,4965
19,9412	0,5878	835,4610
20,0054	0,5374	835,3901
20,0857	0,4912	835,3546
20,1018	0,4514	835,3192
20,1339	0,4130	835,2128
20,2045	0,3800	835,2837
20,2591	0,3492	835,2128
20,2655	0,3226	835,3192
20,2912	0,2960	835,1774
20,3169	0,2723	835,2128
20,2944	0,2522	835,1419
20,2784	0,2319	834,9292
20,3233	0,2148	834,9292
20,3972	0,2004	835,0356
20,3811	0,1877	835,0356
20,4068	0,1730	835,0710
20,4389	0,1620	835,0710
20,4389	0,1503	835,0710
20,4165	0,1400	834,9646
20,4229	0,1307	834,8228
20,4518	0,1237	834,8583
20,4357	0,1168	834,8583
20,4261	0,1102	834,8228
20,4710	0,1039	834,8937
20,4999	0,0973	834,9292
20,4743	0,0926	834,8937
20,4807	0,0870	834,8228
20,4743	0,0826	834,8228
20,5096	0,0794	834,8228
20,4775	0,0753	834,6810
20,5128	0,0723	834,6810
20,5288	0,0697	834,7874
20,5192	0,0660	834,7519
20,4871	0,0623	834,6810
20,5224	0,0589	834,6455
20,5353	0,0572	834,5746
20,4999	0,0560	834,5392
20,5224	0,0528	834,5037
20,5417	0,0533	834,5392
20,5642	0,0511	834,5746
20,5385	0,0496	834,5746
20,5513	0,0457	834,5037
20,5481	0,0450	834,5746
20,5160	0,0435	834,3974
20,5128	0,0413	834,3974
20,5288	0,0406	834,3265
20,5770	0,0413	834,5037
20,5513	0,0398	834,5037
20,5674	0,0376	834,4683
20,5449	0,0374	834,4683
20,5192	0,0364	834,3265
20,5192	0,0352	834,2910
20,5513	0,0342	834,2555
20,5674	0,0347	834,2555
20,5642	0,0342	834,2201
20,5706	0,0332	834,2910
20,5770	0,0310	834,2555
20,5642	0,0315	834,2555
20,5481	0,0308	834,2201
20,5481	0,0293	834,1137
20,5513	0,0303	834,1137
20,5417	0,0296	834,0783
20,5642	0,0288	834,0783
20,6123	0,0274	834,1137
20,5899	0,0279	834,2555
20,5642	0,0259	834,0783
20,5642	0,0252	834,1137
20,5642	0,0247	834,0074
20,5738	0,0254	834,0074
