Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
5	03.10.2016	14:10:44	38,139	0,1406	5,361	44,013	0,1554	78,4	51,3	26,9	55,3	2	0	400
5	03.10.2016	14:20:14	42,024	3,0063	126,336	50,214	3,1406	80,1	830,9	28,4	852,6	2	1	3600
5	03.10.2016	14:25:14	40,918	3,0356	124,210	49,433	3,1448	79,9	835,6	33,2	858,3	1	1	3600
5	03.10.2016	14:30:14	40,689	2,9689	120,799	48,996	3,1048	79,4	819,4	36,0	839,5	1	1	3600
5	03.10.2016	14:35:14	40,272	2,9396	118,382	48,690	3,0723	79,1	809,6	37,8	828,3	1	1	3600
5	03.10.2016	14:40:14	40,098	2,9278	117,400	48,599	3,0590	79,0	807,7	39,4	826,8	1	1	3600
5	03.10.2016	14:45:14	39,849	2,9464	117,411	48,369	3,0685	79,1	814,5	40,6	834,9	1	1	3600
5	03.10.2016	14:50:14	39,813	3,0945	123,202	48,429	3,2280	78,8	867,6	40,3	883,9	1	1	3600
5	03.10.2016	14:55:14	39,446	2,6294	103,719	48,278	2,6905	79,9	706,8	38,9	800,7	1	1	3200
5	03.10.2016	15:00:14	40,567	2,9029	117,760	48,803	3,0331	79,6	821,3	36,7	840,1	1	1	3600
5	03.10.2016	15:05:15	40,724	2,7751	113,013	48,823	2,9179	79,3	779,4	36,8	789,6	1	1	3200
5	03.10.2016	15:10:15	41,447	2,7247	112,931	49,315	2,8673	79,9	766,6	33,1	785,5	1	1	3200
5	03.10.2016	15:15:14	41,377	2,6934	111,446	49,390	2,8311	79,7	760,1	32,3	778,9	1	1	3200
5	03.10.2016	15:20:15	41,631	2,6441	110,075	49,452	2,7842	79,9	749,5	31,4	767,1	1	1	3200
5	03.10.2016	15:25:44	37,721	0,2740	10,337	44,733	0,2884	80,1	85,6	30,4	87,8	1	0	400
5	03.10.2016	15:30:15	41,757	2,5466	106,338	49,594	2,6868	79,8	732,4	30,8	749,4	1	1	3200
5	03.10.2016	15:35:15	41,718	2,5331	105,678	49,303	2,6768	80,1	734,0	33,5	751,2	1	1	3200
5	03.10.2016	15:40:27	39,099	0,4658	18,211	45,896	0,5179	76,6	159,3	32,2	162,1	1	0	800
5	03.10.2016	15:45:27	38,566	0,3295	12,706	46,239	0,3406	80,7	105,9	25,2	109,8	2	0	800
5	03.10.2016	15:50:44	39,523	0,2730	10,792	46,443	0,2862	81,2	86,4	21,9	90,5	2	0	400
5	03.10.2016	15:55:16	42,994	2,2567	97,025	50,602	2,3820	80,5	655,6	23,9	583,2	2	1	2800
5	03.10.2016	16:00:15	42,320	2,2056	93,343	49,563	2,3412	80,4	658,6	30,3	676,6	1	1	2800
5	03.10.2016	16:05:27	39,057	0,4433	17,314	46,357	0,4684	79,7	131,8	28,9	136,1	2	0	800
5	03.10.2016	16:10:27	39,353	0,3128	12,309	46,328	0,3310	80,3	98,2	24,1	101,1	2	0	400
5	03.10.2016	16:15:17	43,000	1,7713	76,165	49,642	1,9059	80,5	522,4	27,2	340,6	2	0	2000
5	03.10.2016	16:20:23	43,212	1,9251	83,187	49,908	2,0604	80,9	572,6	27,0	543,1	2	1	2400
5	03.10.2016	16:25:16	42,532	1,7844	75,893	49,224	1,9112	80,7	543,8	29,3	559,0	2	0	2400
5	03.10.2016	16:30:16	42,167	1,7234	72,672	49,055	1,8431	80,4	525,9	30,3	540,6	1	0	2400
5	03.10.2016	16:35:16	42,057	1,7017	71,569	49,020	1,8217	80,1	523,9	30,3	537,9	1	0	2400
5	03.10.2016	16:40:16	42,163	1,6255	68,537	48,945	1,7427	80,4	504,1	30,4	519,3	1	0	2400
5	03.10.2016	16:45:22	41,380	1,3418	55,524	48,619	1,4216	80,3	181,3	29,8	400,2	1	0	1200
5	03.10.2016	16:55:44	41,832	0,9649	40,362	48,386	1,0617	78,6	58,0	27,9	60,5	2	0	400
5	03.10.2016	17:00:44	37,407	0,1829	6,841	45,092	0,1899	79,9	58,7	23,3	61,2	2	0	400
5	03.10.2016	17:05:44	39,667	0,2286	9,070	46,252	0,2473	79,3	61,9	20,4	66,4	2	0	400
5	03.10.2016	17:10:44	39,850	0,2528	10,075	46,449	0,2680	80,9	78,8	19,7	82,8	2	0	400
5	03.10.2016	17:15:44	39,577	0,2607	10,316	46,614	0,2789	79,4	91,9	19,7	93,7	2	0	400
5	03.10.2016	17:20:27	40,342	0,4228	17,057	47,746	0,4400	81,2	130,8	20,3	131,7	2	0	800
5	03.10.2016	17:25:44	40,149	0,2538	10,189	46,613	0,2791	78,3	89,5	20,5	89,8	2	0	400
5	03.10.2016	17:30:44	37,988	0,1753	6,659	45,705	0,1843	79,0	54,8	19,5	57,1	2	0	400
5	03.10.2016	18:20:27	42,830	0,2369	10,145	47,309	0,2426	88,4	113,3	18,0	99,3	2	0	800
5	03.10.2016	18:25:44	39,539	0,1623	6,417	45,989	0,1807	77,2	52,6	18,0	52,2	2	0	400
5	03.10.2016	18:30:44	40,785	0,0854	3,482	44,971	0,1000	77,4	48,9	17,5	45,6	2	0	400
5	04.10.2016	09:15:44	41,048	0,1953	8,016	47,026	0,2164	78,8	79,9	14,3	81,6	2	0	400
5	04.10.2016	09:20:32	40,859	0,2686	10,976	47,630	0,2960	77,9	95,3	14,8	97,3	2	0	400
