Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
6	14.12.2015	14:33:15	50,572	0,1722	8,710	50,297	0,1996	86,8	73,6	9,8	25,6	2	0	1000
6	14.12.2015	14:35:16	42,400	0,1451	6,153	42,184	0,1661	87,8	62,0	9,8	25,4	2	0	1000
6	14.12.2015	14:50:15	18,024	0,0615	1,108	17,907	0,0685	90,3	26,8	9,8	31,7	2	0	1000
6	14.12.2015	14:55:38	46,379	0,0283	1,314	66,537	0,0472	41,9	17,7	10,4	18,8	2	0	100
6	14.12.2015	15:00:38	27,719	0,0135	0,374	34,475	0,0232	46,8	8,5	9,9	6,8	2	0	100
6	14.12.2015	15:05:38	1,618	0,0103	0,017	1,479	0,0109	103,5	4,0	9,7	0,7	2	0	100
6	14.12.2015	15:10:38	2,556	0,0105	0,027	2,455	0,0106	104,1	3,9	9,5	0,7	2	0	100
6	14.12.2015	15:15:38	23,849	0,0108	0,257	24,281	0,0173	61,3	6,6	9,4	1,8	2	0	100
6	14.12.2015	15:20:38	45,216	0,0218	0,987	62,520	0,0375	42,1	14,5	9,3	15,2	2	0	100
6	14.12.2015	15:25:38	44,285	0,0179	0,793	57,188	0,0330	42,1	12,6	9,3	13,4	2	0	100
6	14.12.2015	15:30:38	33,659	0,0118	0,396	36,437	0,0225	48,3	8,4	9,1	5,7	2	0	100
6	14.12.2015	15:35:38	18,233	0,0109	0,199	18,875	0,0161	65,4	6,0	9,2	2,5	2	0	100
6	14.12.2015	15:40:38	26,964	0,0105	0,284	27,189	0,0188	55,8	7,0	9,0	5,0	2	0	100
6	14.12.2015	15:45:38	28,961	0,0110	0,320	30,147	0,0195	54,3	7,5	8,9	5,4	2	0	100
6	14.12.2015	15:50:38	21,855	0,0107	0,233	22,212	0,0175	60,0	6,4	8,9	3,6	2	0	100
6	14.12.2015	15:55:38	5,751	0,0103	0,059	5,724	0,0118	87,9	4,4	8,8	0,7	2	0	100
6	14.12.2015	16:00:38	0,389	0,0096	0,004	0,249	0,0090	165,8	3,4	8,8	0,5	2	0	100
6	14.12.2015	16:05:38	0,372	0,0079	0,003	0,231	0,0084	151,9	3,0	8,7	0,5	2	0	100
6	14.12.2015	16:10:38	0,363	0,0081	0,003	0,225	0,0080	163,6	2,9	8,7	0,5	2	0	100
6	14.12.2015	16:15:38	0,231	0,0061	0,001	0,164	0,0056	153,0	2,0	8,7	0,7	2	0	100
6	14.12.2015	16:20:38	0,228	0,0036	0,001	0,158	0,0048	106,5	1,5	8,5	0,0	2	0	100
6	15.12.2015	08:50:38	0,218	0,0053	0,001	0,153	0,0054	138,7	1,9	5,1	-0,2	2	0	100
6	15.12.2015	08:55:38	0,376	0,0093	0,004	0,229	0,0091	168,4	3,4	5,0	0,2	2	0	100
6	15.12.2015	09:00:38	21,855	0,0110	0,241	22,351	0,0141	76,3	5,6	4,8	1,8	2	0	100
6	15.12.2015	09:05:38	39,722	0,0140	0,555	47,360	0,0227	51,7	8,8	4,8	7,7	2	0	100
6	15.12.2015	09:10:38	46,324	0,0155	0,716	54,255	0,0271	48,7	10,6	4,6	9,3	2	0	100
6	15.12.2015	09:15:38	50,242	0,0209	1,048	64,547	0,0339	47,9	13,4	4,5	12,0	2	0	100
6	15.12.2015	09:20:38	56,253	0,0309	1,739	71,379	0,0484	50,3	18,7	4,8	17,9	2	0	100
6	15.12.2015	09:25:38	55,463	0,0283	1,572	70,242	0,0457	48,9	17,4	5,4	17,2	2	0	100
6	15.12.2015	09:55:38	63,488	0,0624	3,964	76,697	0,0895	57,7	34,3	6,2	34,2	2	0	100
6	15.12.2015	10:00:38	65,071	0,0769	5,005	77,886	0,1081	59,5	40,9	6,2	41,5	2	0	100
6	15.12.2015	10:05:38	63,744	0,0879	5,606	78,435	0,1180	60,6	44,6	6,5	44,4	2	0	100
6	15.12.2015	10:10:38	65,283	0,1060	6,919	79,433	0,1390	62,7	52,5	6,6	52,6	2	0	100
6	15.12.2015	10:15:38	67,045	0,1163	7,796	80,001	0,1537	63,4	58,2	6,9	58,3	2	0	100
6	15.12.2015	10:20:38	65,360	0,1409	9,212	80,753	0,1765	64,6	66,6	7,3	66,7	2	0	100
6	15.12.2015	10:25:38	66,952	0,1447	9,691	80,918	0,1838	65,2	69,0	7,5	69,4	2	0	100
6	15.12.2015	10:30:18	0,000	0,0000	0,000	NaN	NaN	NaN	NaN	7,6	62,6	2	0	100
